,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
682,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,FWMF,Rennes,fr Ligue 1,24-141,1996,4.5,0.00,0.00,0.00,1.33,2.67,0.00,1.56,0.89,0.44,0.00,0.00,0.00,4.89,0.67,2.00,25.0,Matches
683,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,eng Premier League,23-355,1997,28.6,0.10,0.00,0.00,0.66,0.59,0.03,0.07,0.73,0.66,0.00,0.03,0.03,8.88,1.82,0.94,65.8,Matches
684,Krepin Diatta\Krepin-Diatta,sn SEN,MFDF,Monaco,fr Ligue 1,22-068,1999,3.9,0.77,0.00,0.00,0.77,1.54,0.77,2.05,0.26,0.51,0.00,0.00,0.00,7.95,1.54,2.05,42.9,Matches
685,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Roma,it Serie A,23-291,1997,7.3,0.55,0.14,0.14,2.33,0.55,0.00,0.00,1.23,1.64,0.00,0.00,0.00,11.0,0.41,0.41,50.0,Matches
686,Brahim Díaz\Brahim-Diaz,es ESP,MFFW,Milan,it Serie A,21-274,1999,10.9,0.09,0.00,0.00,0.83,2.11,0.09,0.64,0.55,1.65,0.09,0.00,0.00,6.15,0.46,2.20,17.2,Matches
687,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,es La Liga,32-326,1988,8.5,0.24,0.00,0.00,0.94,0.12,0.00,2.59,1.76,1.65,0.00,0.12,0.00,10.1,1.88,1.53,55.2,Matches
688,Daniel Didavi\Daniel-Didavi,de GER,FWMF,Stuttgart,de Bundesliga,31-072,1990,9.6,0.21,0.00,0.00,1.56,1.35,0.42,1.77,0.63,0.63,0.00,0.00,0.00,5.83,0.94,1.04,47.4,Matches
689,Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,eng Premier League,27-109,1994,25.0,0.12,0.00,0.00,0.60,0.44,0.00,0.12,0.72,0.48,0.00,0.08,0.00,9.92,3.28,1.68,66.1,Matches
690,Daan Dierckx\Daan-Dierckx,be BEL,DF,Parma,it Serie A,18-069,2003,2.5,0.40,0.00,0.00,1.60,0.00,0.00,0.00,2.00,1.60,0.00,0.00,0.00,4.40,0.40,3.60,10.0,Matches
691,Lucas Digne\Lucas-Digne,fr FRA,DFMF,Everton,eng Premier League,27-288,1993,24.8,0.08,0.04,0.00,1.17,0.77,0.12,4.44,0.73,1.37,0.00,0.00,0.00,9.88,3.27,1.33,71.1,Matches
692,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,29-300,1991,4.1,0.24,0.00,0.00,0.98,0.49,0.24,0.00,0.00,0.24,0.00,0.00,0.00,11.7,3.90,1.71,69.6,Matches
693,Mitchell Dijks\Mitchell-Dijks,nl NED,DF,Bologna,it Serie A,28-084,1993,14.1,0.43,0.07,0.07,2.20,0.99,0.07,2.13,1.13,1.21,0.00,0.07,0.00,6.60,0.78,1.13,40.7,Matches
694,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,22-316,1998,3.3,0.00,0.00,0.00,1.52,1.52,0.30,1.52,1.52,1.21,0.00,0.00,0.00,5.45,0.00,1.21,0.0,Matches
695,Federico Dimarco\Federico-Dimarco,it ITA,DF,Hellas Verona,it Serie A,23-175,1997,26.4,0.19,0.00,0.00,0.98,1.67,0.19,3.64,1.36,0.76,0.00,0.04,0.00,8.37,0.49,0.98,33.3,Matches
696,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,fr Ligue 1,30-076,1991,0.2,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.0,0.00,0.00,,Matches
697,Eren Dinkçi\Eren-Dinkci,de GER,FW,Werder Bremen,de Bundesliga,19-142,2001,1.1,0.00,0.00,0.00,0.00,0.00,0.91,0.91,1.82,0.00,0.00,0.00,0.00,8.18,2.73,2.73,50.0,Matches
698,Sinaly Diomande\Sinaly-Diomande,ci CIV,DF,Lyon,fr Ligue 1,20-025,2001,11.5,0.26,0.00,0.00,1.39,1.22,0.00,0.26,1.48,0.70,0.00,0.09,0.00,8.87,4.17,1.30,76.2,Matches
699,Lois Diony\Lois-Diony,fr FRA,FW,Angers,fr Ligue 1,28-135,1992,17.7,0.11,0.00,0.00,1.19,1.81,0.28,1.64,0.17,0.68,0.06,0.00,0.00,3.22,2.15,4.29,33.3,Matches
700,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,24-115,1997,14.3,0.21,0.00,0.00,0.49,0.56,0.07,0.07,0.98,1.12,0.00,0.00,0.07,7.20,2.03,1.05,65.9,Matches
701,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,es La Liga,35-046,1986,23.4,0.30,0.09,0.04,1.50,0.77,0.09,0.30,1.58,1.50,0.00,0.00,0.00,13.6,3.46,2.74,55.9,Matches
702,Sofiane Diop\Sofiane-Diop,fr FRA,MFFW,Monaco,fr Ligue 1,20-329,2000,22.5,0.18,0.00,0.00,1.47,2.49,0.18,1.07,0.71,1.82,0.00,0.00,0.00,9.69,0.98,1.24,44.0,Matches
703,Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,fr Ligue 1,21-169,1999,1.5,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.33,0.00,0.00,,Matches
704,Assane Dioussé\Assane-Diousse,sn SEN,DF,Saint-Étienne,fr Ligue 1,23-226,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
705,Axel Disasi\Axel-Disasi,fr FRA,DF,Monaco,fr Ligue 1,23-054,1998,21.3,0.19,0.09,0.00,1.27,0.80,0.05,0.14,1.13,0.99,0.00,0.00,0.00,9.77,2.44,1.36,64.2,Matches
706,Tiago Djaló\Tiago-Djalo,pt POR,DF,Lille,fr Ligue 1,21-025,2000,8.7,0.46,0.11,0.11,1.72,0.92,0.11,0.69,1.26,1.95,0.00,0.00,0.00,9.20,1.26,0.80,61.1,Matches
707,Djené\Djene,tg TOG,DF,Getafe,es La Liga,29-124,1991,29.4,0.27,0.07,0.03,1.16,1.09,0.00,0.20,1.46,1.16,0.03,0.07,0.00,11.4,2.24,1.39,61.7,Matches
708,Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,eng Premier League,22-323,1998,12.6,0.40,0.00,0.00,2.30,2.86,0.24,0.71,0.79,1.59,0.08,0.08,0.00,8.81,0.79,2.38,25.0,Matches
709,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Crotone,it Serie A,28-155,1992,12.9,0.23,0.00,0.00,1.32,0.16,0.08,0.16,1.40,1.24,0.00,0.00,0.00,7.29,1.94,1.78,52.1,Matches
710,Alexander Djiku\Alexander-Djiku,gh GHA,DFMF,Strasbourg,fr Ligue 1,26-268,1994,25.4,0.28,0.00,0.00,1.85,1.30,0.04,0.20,2.80,1.54,0.00,0.08,0.00,8.23,2.44,0.98,71.3,Matches
711,Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,it Serie A,28-074,1993,25.8,0.27,0.00,0.00,1.01,0.89,0.04,0.23,1.55,0.93,0.00,0.00,0.00,11.2,2.64,1.05,71.6,Matches
712,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,29-100,1992,31.7,0.00,0.00,0.00,0.03,0.13,0.00,0.00,0.00,0.03,0.00,0.00,0.00,5.62,0.00,0.00,,Matches
713,Ritsu Doan\Ritsu-Doan,jp JPN,MFFW,Arminia,de Bundesliga,22-322,1998,27.9,0.04,0.00,0.00,1.11,2.22,0.18,2.01,0.90,1.29,0.04,0.00,0.00,6.38,1.04,2.01,34.1,Matches
714,Mihai Dobre\Mihai-Dobre,ro ROU,FWMF,Dijon,fr Ligue 1,22-247,1998,5.2,0.00,0.00,0.00,0.96,1.15,0.38,1.15,1.73,1.35,0.00,0.00,0.00,7.12,2.12,1.54,57.9,Matches
715,Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,eng Premier League,29-108,1992,12.7,0.31,0.08,0.08,1.50,0.79,0.00,1.57,1.10,0.47,0.00,0.08,0.00,7.95,3.94,1.73,69.4,Matches
716,Jeremy Doku\Jeremy-Doku,be BEL,MFFW,Rennes,fr Ligue 1,18-342,2002,23.1,0.04,0.04,0.00,1.43,2.81,0.22,2.81,0.52,1.52,0.00,0.00,0.00,6.45,0.26,0.65,28.6,Matches
717,Kasper Dolberg\Kasper-Dolberg,dk DEN,FW,Nice,fr Ligue 1,23-210,1997,18.4,0.11,0.00,0.00,1.03,2.34,0.27,0.16,0.16,0.33,0.00,0.00,0.00,3.37,0.98,1.36,41.9,Matches
718,Keagan Dolly\Keagan-Dolly,za RSA,MF,Montpellier,fr Ligue 1,28-102,1993,4.8,0.42,0.00,0.00,1.04,0.63,0.42,0.83,0.83,1.67,0.00,0.00,0.00,7.08,0.21,1.46,12.5,Matches
719,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,30-180,1990,28.0,0.04,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,0.00,0.00,,Matches
720,Nicolás Domínguez\Nicolas-Dominguez,ar ARG,MF,Bologna,it Serie A,22-310,1998,13.9,0.58,0.00,0.00,1.65,1.08,0.07,0.79,1.80,2.52,0.00,0.07,0.00,12.0,1.73,1.73,50.0,Matches
721,John Donald\John-Donald,es ESP,DF,Elche,es La Liga,20-247,2000,0.6,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,1.67,0.0,Matches
722,Ji Dong-won\Ji-Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,29-341,1991,0.7,1.43,0.00,0.00,4.29,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.3,7.14,5.71,55.6,Matches
723,Anastasios Donis\Anastasios-Donis,gr GRE,MF,Reims,fr Ligue 1,24-248,1996,1.1,0.00,0.91,0.00,2.73,0.00,2.73,2.73,0.00,0.00,0.00,0.00,0.00,1.82,0.91,0.00,100.0,Matches
724,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,22-068,1999,33.0,0.03,0.00,0.00,0.03,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,,Matches
725,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,eng Premier League,23-136,1997,18.2,0.22,0.05,0.05,1.15,1.32,0.00,0.16,1.15,0.77,0.00,0.05,0.00,8.35,2.91,2.09,58.2,Matches
726,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,31-338,1989,9.1,0.33,0.00,0.00,1.76,0.99,0.33,0.44,0.22,0.44,0.00,0.00,0.00,3.74,7.69,3.52,68.6,Matches
727,Lucas Douath\Lucas-Douath,fr FRA,MF,Saint-Étienne,fr Ligue 1,17-272,2003,13.6,0.51,0.00,0.00,2.13,1.99,0.00,0.15,1.47,1.76,0.00,0.00,0.00,11.7,1.40,0.96,59.4,Matches
728,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Everton,eng Premier League,28-123,1993,23.7,0.25,0.00,0.00,0.84,0.51,0.00,0.38,1.18,1.43,0.00,0.00,0.00,11.3,1.35,0.97,58.2,Matches
729,Cheick Doucouré\Cheick-Doucoure,ml MLI,MF,Lens,fr Ligue 1,21-116,2000,26.4,0.30,0.00,0.00,1.63,0.53,0.00,0.08,1.86,1.89,0.00,0.00,0.00,11.3,1.02,0.64,61.4,Matches
730,Fodé Doucouré\Fode-Doucoure,ml MLI,DF,Reims,fr Ligue 1,20-090,2001,3.6,0.00,0.00,0.00,1.11,0.28,0.00,1.11,1.11,0.28,0.00,0.00,0.00,8.33,0.56,1.11,33.3,Matches
731,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,es La Liga,28-235,1992,1.0,1.00,0.00,0.00,5.00,3.00,1.00,0.00,2.00,3.00,0.00,0.00,0.00,10.0,1.00,0.00,100.0,Matches
732,Idrissa Doumbia\Idrissa-Doumbia,ci CIV,MF,Huesca,es La Liga,23-020,1998,7.8,0.51,0.00,0.00,1.54,0.64,0.00,0.00,1.03,1.03,0.00,0.00,0.00,8.85,0.26,0.64,28.6,Matches
733,Moussa Doumbia\Moussa-Doumbia,ml MLI,MFFW,Reims,fr Ligue 1,26-262,1994,9.3,0.11,0.00,0.00,0.75,3.12,0.11,2.15,1.72,0.32,0.00,0.00,0.00,8.92,0.22,1.83,10.5,Matches
734,Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Angers,fr Ligue 1,24-222,1996,24.3,0.33,0.00,0.00,1.28,0.62,0.00,1.44,1.65,1.40,0.04,0.04,0.04,7.78,1.15,0.86,57.1,Matches
735,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DF,Leverkusen,de Bundesliga,30-059,1991,9.6,0.31,0.00,0.00,1.25,0.63,0.00,0.52,1.46,0.94,0.00,0.00,0.00,14.1,1.77,1.15,60.7,Matches
736,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,23-258,1997,33.5,0.00,0.00,0.00,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.03,0.00,4.78,0.00,0.00,,Matches
737,Denis Drăguș\Denis-Dragus,ro ROU,FWMF,Crotone,it Serie A,21-302,1999,1.9,0.53,0.00,0.00,2.11,2.11,1.05,1.58,0.53,1.05,0.00,0.00,0.00,7.37,0.53,1.58,25.0,Matches
738,Radu Drăgușin\Radu-Dragusin,ro ROU,DF,Juventus,it Serie A,19-090,2002,0.0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,Matches
739,Mouhamadou Drammeh\Mouhamadou-Drammeh,fr FRA,MF,Reims,fr Ligue 1,21-354,1999,1.9,0.53,0.00,0.00,0.53,2.11,0.00,0.00,1.05,0.53,0.00,0.00,0.00,8.95,1.05,3.16,25.0,Matches
740,Julian Draxler\Julian-Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,27-226,1993,10.5,0.29,0.00,0.00,0.67,1.05,0.38,2.10,1.43,0.57,0.00,0.00,0.00,5.52,0.57,0.19,75.0,Matches
741,Dominick Drexler\Dominick-Drexler,de GER,MFFW,Köln,de Bundesliga,30-343,1990,12.6,0.08,0.00,0.00,1.43,1.67,0.48,2.62,1.19,1.75,0.00,0.00,0.00,6.98,1.19,1.51,44.1,Matches
742,Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32-045,1989,15.0,0.07,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.47,0.00,0.00,,Matches
743,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,es La Liga,26-055,1995,23.4,0.17,0.04,0.00,0.81,0.81,0.00,0.09,1.20,0.60,0.00,0.04,0.00,10.2,2.31,1.28,64.3,Matches
744,Léo Duarte\Leo-Duarte,br BRA,DF,Milan,it Serie A,24-291,1996,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.0,Matches
745,Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,es La Liga,31-335,1989,20.6,0.10,0.00,0.00,1.50,0.29,0.10,0.10,1.17,0.63,0.00,0.05,0.00,8.35,3.74,2.28,62.1,Matches
746,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,es La Liga,25-198,1995,24.5,0.20,0.04,0.04,1.59,1.22,0.00,2.00,1.51,1.10,0.00,0.04,0.00,9.39,2.08,1.06,66.2,Matches
747,Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,fr Ligue 1,26-232,1994,29.5,0.10,0.00,0.00,0.64,1.12,0.07,4.14,0.81,1.02,0.03,0.03,0.00,10.2,1.08,0.75,59.3,Matches
748,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,32-109,1989,9.0,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.11,0.00,0.00,,Matches
749,Ondrej Duda\Ondrej-Duda,sk SVK,FWMF,Köln,de Bundesliga,26-150,1994,25.2,0.32,0.04,0.04,2.06,2.14,0.20,1.71,0.71,1.07,0.00,0.00,0.00,7.18,1.55,3.02,33.9,Matches
750,Unai Dufur\Unai-Dufur,es ESP,DF,Eibar,es La Liga,22-123,1999,0.7,0.00,0.00,0.00,1.43,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,8.57,1.43,1.43,50.0,Matches
751,Haris Duljević\Haris-Duljevic,ba BIH,MFFW,Nîmes,fr Ligue 1,27-169,1993,8.6,0.12,0.00,0.00,1.16,1.40,0.12,1.63,1.51,1.63,0.00,0.00,0.00,7.44,0.58,3.02,16.1,Matches
752,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,29-220,1991,9.9,0.20,0.00,0.00,0.81,0.40,0.00,0.71,1.11,0.91,0.00,0.00,0.00,6.16,2.83,2.22,56.0,Matches
753,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Fiorentina,it Serie A,28-055,1993,1.8,0.00,0.00,0.00,1.11,1.11,0.00,0.56,1.67,0.56,0.00,0.00,0.00,8.89,1.11,2.78,28.6,Matches
754,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Cagliari,it Serie A,28-055,1993,9.8,0.20,0.00,0.00,1.53,1.22,0.00,0.82,1.43,1.12,0.00,0.00,0.00,10.3,0.92,0.82,52.9,Matches
755,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,eng Premier League,29-164,1991,31.0,0.16,0.03,0.00,0.65,0.61,0.06,0.03,0.90,0.58,0.00,0.00,0.03,12.7,2.13,1.29,62.3,Matches
756,Jimmy Dunne\Jimmy-Dunne,ie IRL,DF,Burnley,eng Premier League,23-197,1997,2.0,0.00,0.00,0.00,0.50,1.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,20.0,3.50,0.00,100.0,Matches
757,Erik Durm\Erik-Durm,de GER,DF,Eint Frankfurt,de Bundesliga,28-357,1992,15.7,0.06,0.00,0.00,0.57,0.89,0.06,2.36,1.40,1.02,0.00,0.00,0.00,8.03,1.34,1.46,47.7,Matches
758,Hugo Duro\Hugo-Duro,es ESP,FW,Real Madrid,es La Liga,21-175,1999,0.6,0.00,0.00,0.00,1.67,1.67,0.00,1.67,0.00,0.00,0.00,0.00,0.00,1.67,1.67,8.33,16.7,Matches
759,Jean-Kevin Duverne\Jean-Kevin-Duverne,fr FRA,DF,Brest,fr Ligue 1,23-296,1997,19.5,0.21,0.00,0.00,1.03,0.56,0.00,0.36,0.87,1.08,0.00,0.10,0.00,10.5,2.21,1.95,53.1,Matches
760,Paulo Dybala\Paulo-Dybala,ar ARG,FW,Juventus,it Serie A,27-170,1993,10.6,0.00,0.00,0.00,0.57,2.45,0.38,2.08,0.09,0.75,0.00,0.00,0.00,5.00,0.09,0.66,12.5,Matches
761,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,it Serie A,35-048,1986,17.9,0.11,0.00,0.00,1.40,1.84,0.50,0.73,0.22,0.28,0.06,0.00,0.00,3.91,4.19,2.51,62.5,Matches
762,Eric Junior Dina Ebimbe\Eric-Junior-Dina-Ebimbe,fr FRA,FWMF,Dijon,fr Ligue 1,20-164,2000,21.8,0.23,0.00,0.00,1.93,1.56,0.09,1.06,0.64,1.15,0.00,0.00,0.00,6.56,0.69,1.33,34.1,Matches
763,Steeve-Mike Ebongue\Steeve-Mike-Ebongue,fr FRA,MF,Genoa,it Serie A,20-073,2001,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,22.5,0.00,0.00,,Matches
764,Enzo Ebosse\Enzo-Ebosse,fr FRA,DF,Angers,fr Ligue 1,22-054,1999,2.9,0.34,0.00,0.00,1.03,1.38,0.00,1.03,0.34,1.03,0.00,0.00,0.00,6.90,0.34,0.69,33.3,Matches
765,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Dijon,fr Ligue 1,32-292,1988,35.0,0.06,0.00,0.00,0.51,0.74,0.03,0.03,2.20,1.09,0.00,0.03,0.00,9.09,3.14,1.40,69.2,Matches
766,Simone Edera\Simone-Edera,it ITA,DFMF,Torino,it Serie A,24-115,1997,0.6,0.00,0.00,0.00,1.67,1.67,0.00,3.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,,Matches
767,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,27-260,1993,33.0,0.09,0.00,0.00,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.39,0.00,0.00,,Matches
768,Kyle Edwards\Kyle-Edwards,eng ENG,MFFW,West Brom,eng Premier League,23-076,1998,1.3,0.00,0.00,0.00,0.77,0.77,0.00,0.77,0.77,0.00,0.00,0.00,0.00,6.92,0.00,0.00,,Matches
769,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,eng Premier League,28-196,1992,25.2,0.28,0.04,0.00,1.11,0.40,0.00,0.04,1.23,1.03,0.00,0.00,0.00,9.21,2.70,1.87,59.1,Matches
770,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,22-361,1998,0.4,0.00,0.00,0.00,2.50,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,12.5,2.50,0.00,100.0,Matches
771,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,de Bundesliga,24-147,1996,29.7,0.17,0.00,0.00,0.94,1.21,0.03,0.40,1.31,1.28,0.00,0.00,0.00,11.2,1.35,1.72,44.0,Matches
772,Lilian Egloff\Lilian-Egloff,de GER,MF,Stuttgart,de Bundesliga,18-257,2002,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.0,Matches
773,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,de Bundesliga,25-344,1995,11.7,0.43,0.00,0.00,1.54,1.20,0.17,2.48,1.28,1.62,0.00,0.09,0.00,9.06,2.05,1.11,64.9,Matches
774,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,31-280,1989,22.2,0.36,0.00,0.00,1.89,2.21,0.00,0.14,1.44,1.94,0.00,0.05,0.00,12.4,1.49,1.17,55.9,Matches
775,Hugo Ekitike\Hugo-Ekitike,fr FRA,MFFW,Reims,fr Ligue 1,18-318,2002,1.0,1.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,3.00,1.00,75.0,Matches
776,Niclas Eliasson\Niclas-Eliasson,se SWE,MFFW,Nîmes,fr Ligue 1,25-148,1995,17.3,0.06,0.00,0.00,1.39,2.20,0.23,3.41,0.98,1.10,0.00,0.00,0.00,5.03,1.33,2.49,34.8,Matches
777,Elif Elmas\Elif-Elmas,mk MKD,MFFW,Napoli,it Serie A,21-222,1999,7.9,0.38,0.00,0.00,1.27,0.89,0.13,0.51,0.63,1.14,0.00,0.00,0.00,5.82,0.13,0.89,12.5,Matches
778,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,33-237,1987,7.8,0.26,0.00,0.00,0.77,0.26,0.00,3.72,2.82,1.28,0.00,0.00,0.00,10.9,2.69,0.64,80.8,Matches
779,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,eng Premier League,28-297,1992,14.2,0.14,0.00,0.00,0.63,0.56,0.00,0.14,1.20,0.70,0.00,0.00,0.00,8.59,0.42,0.92,31.6,Matches
780,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,27-037,1994,17.2,0.29,0.00,0.00,1.16,1.28,0.06,0.41,0.23,0.81,0.00,0.06,0.06,10.1,2.44,2.09,53.8,Matches
781,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24-216,1996,25.2,0.04,0.00,0.00,0.44,0.52,0.04,0.08,2.22,0.99,0.00,0.00,0.00,10.2,3.73,1.90,66.2,Matches
782,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,27-182,1993,5.2,0.19,0.00,0.00,1.54,0.38,0.00,0.00,0.38,0.58,0.00,0.00,0.00,9.62,3.08,0.38,88.9,Matches
783,Sepe Elye Wahi\Sepe-Elye-Wahi,fr FRA,FW,Montpellier,fr Ligue 1,18-122,2003,5.7,0.18,0.00,0.00,1.23,2.28,0.70,1.05,0.35,0.35,0.00,0.00,0.00,5.96,1.75,1.93,47.6,Matches
784,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,24-079,1997,14.7,0.27,0.00,0.00,2.18,3.47,0.68,0.61,0.41,0.88,0.20,0.00,0.00,5.99,2.18,3.95,35.6,Matches
785,Emerson\Emerson,br BRA,DF,Betis,es La Liga,22-110,1999,29.2,0.27,0.03,0.00,1.71,2.19,0.07,2.23,2.05,1.82,0.00,0.03,0.03,7.71,1.75,1.16,60.0,Matches
786,Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,it ITA,MF,Atalanta,it Serie A,19-225,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
787,Renaud Emond\Renaud-Emond,be BEL,FW,Nantes,fr Ligue 1,29-150,1991,3.7,0.27,0.00,0.00,1.35,3.24,0.00,0.81,0.27,0.54,0.27,0.00,0.00,2.70,3.51,7.30,32.5,Matches
788,Alan Empereur\Alan-Empereur,br BRA,DF,Hellas Verona,it Serie A,27-055,1994,2.4,0.42,0.00,0.00,1.25,0.42,0.00,0.00,2.08,0.42,0.00,0.00,0.00,10.0,1.25,2.08,37.5,Matches
789,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,es La Liga,23-337,1997,22.9,0.09,0.00,0.00,1.09,1.48,1.05,0.61,0.31,0.70,0.04,0.00,0.00,3.93,4.10,3.32,55.3,Matches
790,Keita Endo\Keita-Endo,jp JPN,FWMF,Union Berlin,de Bundesliga,23-163,1997,4.3,0.00,0.00,0.00,1.86,2.79,0.47,2.09,1.86,0.93,0.00,0.00,0.00,7.67,1.40,3.02,31.6,Matches
791,Wataru Endo\Wataru-Endo,jp JPN,MF,Stuttgart,de Bundesliga,28-084,1993,30.8,0.13,0.00,0.00,1.36,1.69,0.00,0.16,1.46,1.98,0.03,0.00,0.00,12.2,2.11,1.43,59.6,Matches
792,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,31-067,1990,12.2,0.08,0.00,0.00,2.38,1.15,0.49,0.41,0.57,0.98,0.08,0.00,0.00,5.82,5.82,6.89,45.8,Matches
793,Christian Eriksen\Christian-Eriksen,dk DEN,MF,Inter,it Serie A,29-079,1992,13.4,0.07,0.00,0.00,0.90,0.22,0.07,1.87,0.60,0.60,0.00,0.00,0.00,8.81,0.90,0.37,70.6,Matches
794,Martin Erlic\Martin-Erlic,hr CRO,DF,Spezia,it Serie A,23-100,1998,18.8,0.32,0.00,0.00,1.91,0.64,0.00,0.05,1.33,0.90,0.00,0.00,0.00,11.2,2.50,1.76,58.8,Matches
795,Patrick Erras\Patrick-Erras,de GER,FWMF,Werder Bremen,de Bundesliga,26-103,1995,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.3,20.0,13.3,60.0,Matches
