,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
84,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,fr Ligue 1,28-028,1993,16.6,2.65,1.81,0.90,1.63,0.12,0.48,1.81,26.7,1.33,24.1,6.75,28.0,8.67,13.4,1.99,1.08,0.30,0.00,0.78,1.75,4.40,2.17,0.00,Matches
85,Romain Amalfitano\Romain-Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,31-250,1989,1.3,1.54,0.77,1.54,0.00,0.00,1.54,3.85,40.0,2.31,10.0,1.54,15.4,6.92,1.54,1.54,1.54,0.77,0.00,0.77,0.77,2.31,0.77,0.00,Matches
86,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,es La Liga,19-165,2001,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,8.00,2.00,25.0,2.00,4.00,2.00,8.00,0.00,0.00,8.00,0.00,0.00,2.00,0.00,Matches
87,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,26-134,1994,8.0,1.50,0.75,0.88,0.38,0.25,0.88,1.50,58.3,0.63,7.75,3.00,38.7,4.63,2.75,0.38,2.38,0.63,0.13,1.75,1.50,3.00,5.25,0.00,Matches
88,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,27-056,1994,8.2,2.32,1.34,1.95,0.24,0.12,0.98,1.22,80.0,0.24,9.15,1.71,18.7,5.61,2.44,1.10,3.54,0.49,0.00,3.05,1.46,3.78,4.15,0.12,Matches
89,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,24-037,1997,6.7,1.04,0.45,0.15,0.00,0.90,0.15,1.04,14.3,0.90,16.4,4.48,27.3,1.04,8.66,6.72,0.30,0.00,0.00,0.30,0.45,1.49,0.45,0.00,Matches
90,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,de Bundesliga,24-189,1996,20.1,1.00,0.65,0.25,0.60,0.15,0.25,1.44,17.2,1.19,15.3,5.22,34.2,3.08,8.61,3.58,0.90,0.15,0.00,0.75,0.90,1.89,0.30,0.00,Matches
91,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,eng Premier League,20-232,2000,23.2,2.67,1.55,1.34,1.12,0.22,0.91,2.11,42.9,1.21,15.5,4.35,28.1,7.76,5.95,1.77,2.07,0.86,0.00,1.21,1.68,4.35,5.17,0.09,Matches
92,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,it Serie A,24-256,1996,25.9,2.20,1.51,0.81,1.12,0.27,0.85,2.32,36.7,1.47,21.4,5.79,27.1,5.98,12.0,3.40,1.78,0.19,0.00,1.58,0.81,3.01,0.69,0.00,Matches
93,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,es La Liga,31-207,1989,7.6,2.24,1.71,1.32,0.53,0.39,0.66,3.16,20.8,2.50,20.7,7.24,35.0,7.89,10.4,2.37,2.24,0.26,0.00,1.97,0.92,3.16,2.11,0.00,Matches
94,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,24-338,1996,2.1,0.48,0.48,0.48,0.00,0.00,0.00,0.95,0.0,0.95,11.0,2.38,21.7,4.29,5.71,0.95,0.95,0.00,0.00,0.95,0.00,0.48,3.33,0.00,Matches
95,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,eng Premier League,24-338,1996,27.7,1.26,0.76,0.69,0.43,0.14,0.61,1.19,51.5,0.58,6.10,2.13,34.9,4.01,1.70,0.40,1.01,0.47,0.00,0.54,1.52,2.78,7.65,0.04,Matches
96,Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,it Serie A,26-013,1995,0.8,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.0,1.25,12.5,1.25,10.0,1.25,8.75,2.50,2.50,0.00,0.00,2.50,0.00,0.00,0.00,0.00,Matches
97,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,eng Premier League,18-179,2002,0.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0,Matches
98,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,28-019,1993,0.0,1,1,0,1,0,0,2,0.0,2,3,1,33.3,1,2,0,0,0,0,0,0,1,0,0,Matches
99,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29-293,1991,10.1,0.50,0.20,0.00,0.30,0.20,0.00,0.50,0.0,0.50,13.5,2.87,21.3,0.69,6.83,5.94,0.89,0.20,0.00,0.69,0.30,0.79,0.79,0.00,Matches
100,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,33-022,1988,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
101,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,30-274,1990,30.4,3.52,2.73,1.45,1.81,0.26,1.61,4.01,40.2,2.40,21.6,7.53,34.8,6.51,13.0,2.17,2.14,0.39,0.03,1.74,1.91,5.43,2.24,0.00,Matches
102,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,26-224,1994,27.1,2.18,1.40,1.07,0.89,0.22,0.59,1.59,37.2,1.00,18.7,5.76,30.7,6.27,10.2,2.25,1.51,0.30,0.00,1.22,2.03,4.21,1.14,0.04,Matches
103,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,24-217,1996,18.6,1.88,1.61,0.86,0.91,0.11,0.91,1.99,45.9,1.08,13.0,4.73,36.4,4.68,6.88,1.45,1.51,0.22,0.00,1.29,0.70,2.58,0.48,0.00,Matches
104,Ángel\Angel,es ESP,GK,Granada,es La Liga,18-316,2002,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
105,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,es La Liga,23-054,1998,1.5,0.67,0.67,0.00,0.00,0.67,0.00,0.00,,0.00,12.0,2.67,22.2,8.67,2.00,1.33,2.00,1.33,0.00,0.67,0.00,0.67,13.3,0.00,Matches
106,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,31-241,1989,7.1,1.69,0.85,0.70,0.42,0.56,0.85,1.41,60.0,0.56,8.73,3.52,40.3,2.96,3.80,1.97,1.83,0.00,0.00,1.83,1.41,3.10,3.52,0.14,Matches
107,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,de Bundesliga,24-120,1997,22.7,1.72,0.70,0.66,0.97,0.09,0.35,1.01,34.8,0.66,10.5,3.74,35.6,3.44,4.71,2.38,1.63,0.04,0.00,1.59,1.28,3.00,1.72,0.04,Matches
108,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,it Serie A,19-322,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,Matches
109,Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,18-219,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,30.0,0.00,0.0,10.0,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
110,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,it Serie A,34-226,1986,17.2,2.27,1.22,1.16,0.93,0.17,1.22,1.92,63.6,0.70,12.6,3.90,30.9,5.41,4.30,2.91,1.40,0.29,0.00,1.10,1.51,3.78,1.22,0.06,Matches
111,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,de Bundesliga,24-288,1996,27.1,1.22,0.74,0.81,0.41,0.00,0.30,1.03,28.6,0.74,9.23,3.39,36.8,5.76,3.14,0.33,1.85,0.66,0.07,1.18,1.66,2.88,4.21,0.00,Matches
112,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,es La Liga,22-286,1998,0.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.0,3.33,40.0,6.67,16.7,6.67,33.3,0.00,3.33,0.00,0.00,3.33,3.33,3.33,0.00,0.00,Matches
113,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,31-037,1990,18.2,0.60,0.27,0.05,0.27,0.27,0.11,0.38,28.6,0.27,11.0,3.02,27.4,0.77,3.90,6.37,1.15,0.49,0.00,0.66,0.38,0.99,0.44,0.00,Matches
114,Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,it Serie A,20-176,2000,2.2,2.73,1.36,2.27,0.45,0.00,1.36,4.09,33.3,2.73,12.3,3.18,25.9,8.18,3.64,0.45,4.09,1.36,0.00,2.73,0.91,3.64,5.00,0.00,Matches
115,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,22-308,1998,17.7,0.90,0.56,0.00,0.51,0.40,0.28,1.30,21.7,1.02,13.3,3.95,29.8,2.20,6.44,4.63,0.73,0.06,0.00,0.68,0.79,1.69,0.17,0.00,Matches
116,Adil Aouchiche\Adil-Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18-293,2002,17.7,1.98,1.07,0.51,0.73,0.73,0.68,2.37,28.6,1.69,19.6,5.76,29.4,3.45,9.10,7.06,0.68,0.06,0.00,0.62,0.28,2.26,0.62,0.00,Matches
117,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,28-329,1992,14.4,3.54,1.88,2.29,0.83,0.42,1.88,3.68,50.9,1.81,17.0,6.11,35.9,9.17,5.49,2.36,2.15,0.42,0.00,1.74,1.25,4.79,4.03,0.00,Matches
118,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,es La Liga,23-093,1998,0.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.0,3.33,20.0,6.67,33.3,3.33,10.0,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
119,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,25-216,1995,31.1,2.38,1.80,0.90,1.13,0.35,0.55,2.28,23.9,1.74,21.7,5.59,25.8,5.34,13.1,3.28,1.61,0.16,0.00,1.45,1.58,3.95,1.45,0.00,Matches
120,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,32-017,1989,16.6,2.59,1.69,1.08,1.14,0.36,0.90,2.83,31.9,1.93,20.8,7.05,33.9,7.71,10.7,2.35,1.93,0.24,0.00,1.69,1.39,3.98,1.51,0.00,Matches
121,Luiz Araújo\Luiz-Araujo,br BRA,MF,Lille,fr Ligue 1,24-336,1996,15.1,2.25,1.32,0.86,0.93,0.46,0.33,1.85,17.9,1.52,17.4,4.37,25.1,3.84,8.68,4.90,1.26,0.13,0.00,1.13,0.79,3.05,0.26,0.00,Matches
122,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,29-248,1991,24.0,0.88,0.63,0.46,0.38,0.04,0.13,0.38,33.3,0.25,8.21,2.79,34.0,4.25,3.54,0.42,1.46,0.63,0.00,0.83,1.33,2.21,5.50,0.04,Matches
123,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,22-058,1999,13.8,1.52,1.16,0.87,0.58,0.07,0.43,0.51,85.7,0.07,9.49,3.55,37.4,4.13,5.14,0.22,2.03,1.01,0.00,1.01,0.72,2.25,4.06,0.07,Matches
124,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,33-354,1987,27.2,1.84,0.88,1.14,0.59,0.11,0.77,1.69,45.7,0.92,7.79,2.43,31.1,3.46,3.35,0.99,1.95,0.37,0.00,1.58,1.88,3.71,4.38,0.00,Matches
125,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-066,1993,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.0,0.09,0.12,0.00,0.0,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,Matches
126,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,de Bundesliga,29-111,1992,1.0,4.00,4.00,2.00,1.00,1.00,0.00,0.00,,0.00,13.0,5.00,38.5,6.00,6.00,1.00,3.00,0.00,0.00,3.00,0.00,4.00,3.00,0.00,Matches
127,Karim Aribi\Karim-Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26-314,1994,3.3,0.30,0.00,0.00,0.30,0.00,0.00,1.21,0.0,1.21,18.2,4.24,23.3,2.42,7.88,7.88,0.61,0.00,0.00,0.61,0.00,0.30,1.21,0.00,Matches
128,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,22-123,1999,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,4.00,40.0,0.00,2.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
129,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,29-035,1992,25.9,2.39,1.47,0.89,1.12,0.39,1.04,2.74,38.0,1.70,16.1,4.63,28.7,5.33,7.18,3.63,1.04,0.04,0.00,1.00,1.04,3.44,0.69,0.04,Matches
130,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,26-342,1994,25.7,2.06,1.52,0.82,1.05,0.19,0.78,1.87,41.7,1.09,18.2,6.34,34.8,5.68,9.38,3.15,1.40,0.12,0.04,1.28,1.44,3.50,2.33,0.00,Matches
131,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,de Bundesliga,20-162,2000,1.2,0.83,0.83,0.00,0.00,0.83,0.00,0.00,,0.00,15.0,5.83,38.9,0.83,5.83,8.33,0.83,0.00,0.00,0.83,0.00,0.83,0.00,0.00,Matches
132,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,es La Liga,19-216,2001,1.5,1.33,0.67,0.67,0.67,0.00,0.00,0.67,0.0,0.67,13.3,4.00,30.0,6.00,4.67,2.67,0.67,0.00,0.00,0.67,2.00,3.33,2.00,0.00,Matches
133,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-213,1994,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.0,0.20,0.20,0.00,0.0,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,Matches
134,Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,it Serie A,30-261,1990,19.3,2.95,1.92,1.45,1.24,0.26,0.98,2.54,38.8,1.55,17.5,6.06,34.6,7.77,7.88,1.87,1.50,0.10,0.00,1.40,0.98,3.94,0.47,0.05,Matches
135,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DFMF,Cagliari,it Serie A,32-146,1988,2.3,2.17,1.74,0.87,1.30,0.00,0.43,0.43,100.0,0.00,6.09,1.74,28.6,2.17,1.74,2.17,1.74,0.43,0.00,1.30,2.17,4.35,1.30,0.43,Matches
136,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,24-068,1997,4.6,4.13,1.30,1.96,1.96,0.22,1.52,3.70,41.2,2.17,29.3,5.87,20.0,10.9,14.3,4.13,2.39,0.43,0.00,1.96,0.87,5.00,2.83,0.00,Matches
137,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-310,1989,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.06,0.00,0.0,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.03,Matches
138,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,25-103,1996,19.2,0.68,0.52,0.36,0.31,0.00,0.21,1.25,16.7,1.04,9.79,2.29,23.4,2.40,4.74,2.66,1.04,0.00,0.00,1.04,0.73,1.41,0.47,0.00,Matches
139,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,20-115,2001,0.9,1.11,1.11,0.00,1.11,0.00,0.00,0.00,,0.00,27.8,4.44,16.0,12.2,13.3,2.22,3.33,0.00,0.00,3.33,1.11,2.22,2.22,0.00,Matches
140,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,33-276,1987,29.0,0.31,0.14,0.03,0.21,0.07,0.00,0.62,0.0,0.62,10.7,2.97,27.7,1.14,4.86,4.72,0.97,0.10,0.00,0.86,0.55,0.86,0.76,0.00,Matches
141,Roger Assalé\Roger-Assale,ci CIV,FWMF,Dijon,fr Ligue 1,27-172,1993,9.2,0.98,0.76,0.43,0.33,0.22,0.43,1.41,30.8,0.98,13.5,3.48,25.8,1.20,7.17,5.11,0.76,0.33,0.00,0.43,0.76,1.74,0.22,0.00,Matches
142,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,21-342,1999,5.5,3.64,2.18,0.73,2.55,0.36,0.91,2.36,38.5,1.45,23.6,8.73,36.9,5.64,13.8,4.18,1.45,0.36,0.00,1.09,1.82,5.45,1.27,0.00,Matches
143,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,24-352,1996,8.1,3.09,2.35,1.60,1.23,0.25,1.73,3.46,50.0,1.73,11.4,3.09,27.2,4.81,4.44,2.10,1.48,0.12,0.00,1.36,1.85,4.94,1.11,0.00,Matches
144,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31-320,1989,23.2,0.69,0.22,0.34,0.30,0.04,0.17,0.82,21.1,0.65,12.7,3.19,25.1,2.24,5.09,5.39,1.08,0.09,0.00,0.99,0.22,0.91,0.60,0.00,Matches
145,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,24-106,1997,34.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.0,0.03,0.15,0.06,40.0,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
146,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,26-247,1994,31.7,1.48,0.76,1.04,0.35,0.09,0.63,1.26,50.0,0.63,9.59,3.44,35.9,4.57,3.06,1.96,1.51,0.06,0.00,1.45,1.14,2.62,2.68,0.03,Matches
147,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Nantes,fr Ligue 1,23-322,1997,0.4,2.50,2.50,0.00,2.50,0.00,2.50,2.50,100.0,0.00,20.0,10.0,50.0,0.00,17.5,2.50,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,Matches
148,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,27-013,1994,19.7,1.98,0.76,1.02,0.66,0.30,0.71,1.42,50.0,0.71,13.0,4.47,34.4,5.48,4.67,2.84,2.18,0.36,0.00,1.83,0.66,2.64,2.84,0.00,Matches
149,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,28-131,1992,16.8,4.05,2.08,2.56,1.19,0.30,1.13,2.92,38.8,1.79,21.4,6.19,28.9,11.6,7.08,2.74,2.32,0.36,0.00,1.96,1.37,5.42,2.92,0.12,Matches
150,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,eng Premier League,31-303,1989,1.5,2.67,2.00,1.33,0.67,0.67,0.67,1.33,50.0,0.67,15.3,4.67,30.4,3.33,5.33,6.67,0.00,0.00,0.00,0.00,1.33,4.00,2.00,0.00,Matches
151,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Osasuna,es La Liga,27-087,1994,1.3,0.77,0.00,0.00,0.00,0.77,0.00,0.00,,0.00,16.9,0.77,4.5,3.08,6.15,7.69,1.54,0.00,0.00,1.54,0.00,0.77,0.00,0.00,Matches
152,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23-265,1997,14.3,0.56,0.42,0.28,0.28,0.00,0.07,0.84,8.3,0.77,13.8,5.17,37.6,1.54,6.71,5.52,0.98,0.14,0.00,0.84,0.28,0.84,0.28,0.00,Matches
153,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,de Bundesliga,19-084,2002,3.8,3.16,1.58,0.79,2.37,0.00,1.05,2.11,50.0,1.05,16.6,4.21,25.4,5.79,7.63,3.16,1.58,0.00,0.00,1.58,1.84,5.00,3.68,0.00,Matches
154,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,29-235,1991,21.2,2.31,1.46,0.33,1.27,0.71,0.66,1.93,34.1,1.27,29.1,6.84,23.5,5.94,15.0,8.11,1.32,0.09,0.00,1.23,1.13,3.44,0.47,0.00,Matches
155,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Sassuolo,it Serie A,26-175,1994,8.7,1.61,1.15,0.80,0.69,0.11,0.69,1.38,50.0,0.69,8.97,3.79,42.3,4.71,3.68,0.57,1.72,0.46,0.00,1.26,0.92,2.53,4.71,0.00,Matches
156,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,eng Premier League,29-252,1991,33.8,2.99,1.72,1.80,0.92,0.27,1.01,2.22,45.3,1.21,14.0,4.88,34.8,7.34,5.24,1.45,2.19,0.89,0.03,1.30,1.48,4.47,2.63,0.06,Matches
157,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,es La Liga,28-143,1992,1.1,2.73,2.73,0.91,1.82,0.00,0.91,0.91,100.0,0.00,11.8,4.55,38.5,1.82,8.18,1.82,1.82,0.00,0.00,1.82,0.00,2.73,1.82,0.00,Matches
158,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31-249,1989,20.5,1.95,1.02,0.88,0.78,0.29,0.68,1.22,56.0,0.54,14.1,4.20,29.8,6.20,5.80,2.10,1.51,0.29,0.00,1.22,1.37,3.32,4.20,0.05,Matches
159,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,34-345,1986,3.2,1.88,0.94,1.25,0.63,0.00,0.31,0.63,50.0,0.31,17.5,3.75,21.4,9.69,6.56,1.25,2.50,0.31,0.00,2.19,0.63,2.50,2.50,0.00,Matches
160,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,34-238,1986,7.1,0.99,0.85,0.56,0.28,0.14,0.14,0.56,25.0,0.42,15.8,3.52,22.3,1.41,5.63,8.73,0.56,0.00,0.00,0.56,0.28,1.27,0.14,0.00,Matches
161,Loïc Bade\Loic-Bade,fr FRA,DF,Lens,fr Ligue 1,21-023,2000,26.0,2.54,1.31,2.04,0.50,0.00,0.96,1.88,51.0,0.92,10.5,4.12,39.1,6.58,3.88,0.08,1.85,0.69,0.00,1.15,1.81,4.35,7.96,0.08,Matches
162,Milan Badelj\Milan-Badelj,hr CRO,MF,Genoa,it Serie A,32-068,1989,25.4,2.13,1.54,1.06,0.83,0.24,0.63,3.15,20.0,2.52,17.3,4.65,26.9,6.30,8.39,2.60,2.28,0.35,0.00,1.93,3.23,5.35,1.85,0.00,Matches
163,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,29-081,1992,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.0,0.13,0.13,0.03,25.0,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,Matches
164,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,es La Liga,19-288,2001,1.4,0.71,0.00,0.00,0.00,0.71,0.00,1.43,0.0,1.43,19.3,2.14,11.1,2.14,11.4,5.71,0.71,0.00,0.00,0.71,2.14,2.86,0.00,0.00,Matches
165,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,es La Liga,21-038,2000,5.8,1.55,0.86,0.69,0.86,0.00,0.69,1.38,50.0,0.69,16.2,3.79,23.4,6.55,7.41,2.24,0.34,0.00,0.00,0.34,1.03,2.59,0.69,0.00,Matches
166,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,28-341,1992,16.7,0.96,0.72,0.06,0.60,0.30,0.18,0.48,37.5,0.30,15.9,4.07,25.7,1.20,7.13,7.54,0.72,0.00,0.00,0.72,0.60,1.56,0.72,0.00,Matches
167,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,23-268,1997,23.3,0.90,0.52,0.21,0.43,0.26,0.26,0.82,31.6,0.56,10.6,3.18,30.0,1.80,4.76,4.03,0.64,0.00,0.00,0.64,0.77,1.67,0.39,0.00,Matches
168,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27-022,1994,7.1,1.13,0.70,0.56,0.42,0.14,0.00,0.00,,0.00,6.06,2.25,37.2,2.82,3.10,0.14,1.83,1.69,0.00,0.14,2.39,3.52,5.35,0.00,Matches
169,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-132,2001,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
170,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Napoli,it Serie A,26-260,1994,19.0,3.53,2.53,1.26,1.84,0.42,0.74,1.58,46.7,0.84,16.3,5.47,33.7,5.53,8.32,2.42,1.26,0.16,0.00,1.11,1.16,4.68,0.79,0.00,Matches
171,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20-318,2000,17.8,2.30,1.46,1.40,0.51,0.39,0.79,1.35,58.3,0.56,9.94,3.54,35.6,3.26,3.93,2.75,1.97,0.11,0.00,1.85,0.90,3.20,1.46,0.00,Matches
172,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,de Bundesliga,23-026,1998,26.8,1.94,0.97,0.78,0.90,0.26,0.78,1.87,42.0,1.08,17.4,5.49,31.5,5.45,6.60,5.37,2.57,0.15,0.00,2.43,1.60,3.54,1.31,0.04,Matches
173,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,de Bundesliga,23-026,1998,2.0,2.50,1.00,1.50,1.00,0.00,0.00,2.50,0.0,2.50,11.0,3.00,27.3,5.50,4.50,1.00,2.50,0.00,0.00,2.50,2.00,4.50,2.50,0.00,Matches
174,Dilane Bakwa\Dilane-Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,18-251,2002,0.6,3.33,3.33,0.00,3.33,0.00,0.00,0.00,,0.00,26.7,3.33,12.5,8.33,15.0,3.33,1.67,0.00,0.00,1.67,1.67,5.00,0.00,0.00,Matches
175,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,29-254,1991,13.3,1.80,1.05,1.50,0.30,0.00,0.90,1.80,50.0,0.90,10.1,3.38,33.6,6.62,3.31,0.15,1.88,0.45,0.08,1.43,1.05,2.86,6.69,0.08,Matches
