,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
112,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,es La Liga,22-286,1998,0.3,0.00,6.67,0.00,0.0,7.83,0.00,0.00,,7.6,0.00,0.00,0.00,0.67,0.67,0.10,-0.67,-0.67,Matches
113,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,31-037,1990,18.2,0.49,3.13,1.21,38.6,3.14,1.21,0.16,0.41,12.7,0.00,0.00,0.00,0.57,0.57,0.19,-0.08,-0.08,Matches
114,Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,it Serie A,20-176,2000,2.2,0.00,0.45,0.00,0.0,0.45,0.00,0.00,,29.8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
115,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,22-308,1998,17.7,0.28,3.56,1.13,31.7,3.56,1.13,0.05,0.15,16.1,0.00,0.11,0.11,0.52,0.44,0.12,-0.24,-0.27,Matches
116,Adil Aouchiche\Adil-Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18-293,2002,17.7,0.11,1.30,0.62,47.8,1.30,0.62,0.09,0.18,20.6,0.11,0.00,0.00,0.16,0.16,0.13,-0.05,-0.05,Matches
117,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,28-329,1992,14.4,0.00,0.35,0.00,0.0,0.35,0.00,0.00,,18.9,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
118,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,es La Liga,23-093,1998,0.3,0.00,3.33,0.00,0.0,3.46,0.00,0.00,,7.0,0.00,0.00,0.00,0.33,0.33,0.14,-0.33,-0.33,Matches
119,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,25-216,1995,31.1,0.10,1.51,0.29,19.1,1.51,0.29,0.06,0.33,25.5,0.19,0.00,0.00,0.07,0.07,0.05,0.03,0.03,Matches
120,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,32-017,1989,16.6,0.00,0.24,0.12,50.0,0.24,0.12,0.00,0.00,9.7,0.00,0.00,0.00,0.04,0.04,0.17,-0.04,-0.04,Matches
121,Luiz Araújo\Luiz-Araujo,br BRA,MF,Lille,fr Ligue 1,24-336,1996,15.1,0.26,3.11,0.60,19.1,3.11,0.60,0.09,0.44,22.6,0.07,0.00,0.00,0.22,0.22,0.07,0.05,0.05,Matches
122,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,29-248,1991,24.0,0.00,0.25,0.00,0.0,0.25,0.00,0.00,,10.5,0.00,0.00,0.00,0.01,0.01,0.06,-0.01,-0.01,Matches
123,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,22-058,1999,13.8,0.14,0.58,0.29,50.0,0.58,0.29,0.25,0.50,8.5,0.00,0.00,0.00,0.08,0.08,0.14,0.07,0.07,Matches
124,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,33-354,1987,27.2,0.00,0.92,0.07,8.0,0.92,0.07,0.00,0.00,27.8,0.15,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
125,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-066,1993,33.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
126,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,de Bundesliga,29-111,1992,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
127,Karim Aribi\Karim-Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26-314,1994,3.3,0.00,2.73,0.61,22.2,2.76,0.61,0.00,0.00,12.3,0.00,0.00,0.00,0.30,0.30,0.11,-0.30,-0.30,Matches
128,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,22-123,1999,0.5,0.00,2.00,0.00,0.0,1.91,0.00,0.00,,26.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
129,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,29-035,1992,25.9,0.15,1.74,0.42,24.4,1.74,0.43,0.09,0.36,20.1,0.00,0.00,0.00,0.10,0.10,0.06,0.05,0.05,Matches
130,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,26-342,1994,25.7,0.12,1.75,0.51,28.9,1.75,0.51,0.07,0.23,28.7,0.31,0.00,0.00,0.07,0.07,0.04,0.05,0.05,Matches
131,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,de Bundesliga,20-162,2000,1.2,0.00,3.33,0.83,25.0,3.21,0.80,0.00,0.00,9.9,0.00,0.00,0.00,0.33,0.33,0.11,-0.33,-0.33,Matches
132,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,es La Liga,19-216,2001,1.5,0.00,0.67,0.67,100.0,0.67,0.67,0.00,0.00,25.3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
133,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-213,1994,5.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
134,Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,it Serie A,30-261,1990,19.3,0.16,0.98,0.31,31.6,0.99,0.31,0.16,0.50,21.0,0.00,0.00,0.00,0.04,0.04,0.04,0.11,0.11,Matches
135,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DFMF,Cagliari,it Serie A,32-146,1988,2.3,0.00,0.87,0.43,50.0,0.88,0.44,0.00,0.00,21.5,0.00,0.00,0.00,0.04,0.04,0.03,-0.04,-0.04,Matches
136,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,24-068,1997,4.6,0.22,1.09,0.65,60.0,1.09,0.65,0.20,0.33,19.9,0.00,0.00,0.00,0.09,0.09,0.09,0.13,0.13,Matches
137,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-310,1989,33.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
138,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,25-103,1996,19.2,0.21,1.98,0.52,26.3,1.98,0.52,0.11,0.40,18.6,0.16,0.00,0.00,0.24,0.24,0.12,-0.03,-0.03,Matches
139,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,20-115,2001,0.9,0.00,1.11,0.00,0.0,1.07,0.00,0.00,,25.6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
140,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,33-276,1987,29.0,0.45,1.41,0.72,51.2,1.42,0.72,0.22,0.43,15.4,0.17,0.14,0.14,0.40,0.29,0.21,0.05,0.02,Matches
141,Roger Assalé\Roger-Assale,ci CIV,FWMF,Dijon,fr Ligue 1,27-172,1993,9.2,0.11,1.20,0.54,45.5,1.20,0.54,0.09,0.20,16.6,0.00,0.00,0.00,0.09,0.09,0.07,0.02,0.02,Matches
142,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,21-342,1999,5.5,0.00,0.36,0.00,0.0,0.37,0.00,0.00,,16.5,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
143,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,24-352,1996,8.1,0.12,0.86,0.49,57.1,0.86,0.49,0.14,0.25,16.5,0.00,0.00,0.00,0.07,0.07,0.08,0.05,0.05,Matches
144,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31-320,1989,23.2,0.43,2.24,0.82,36.5,2.24,0.82,0.15,0.42,13.5,0.00,0.09,0.09,0.45,0.38,0.17,-0.02,-0.03,Matches
145,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,24-106,1997,34.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
146,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,26-247,1994,31.7,0.03,0.19,0.06,33.3,0.19,0.06,0.17,0.50,20.0,0.00,0.00,0.00,0.01,0.01,0.04,0.03,0.03,Matches
147,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Nantes,fr Ligue 1,23-322,1997,0.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
148,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,27-013,1994,19.7,0.00,0.81,0.30,37.5,0.81,0.30,0.00,0.00,17.8,0.15,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
149,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,28-131,1992,16.8,0.12,0.77,0.30,38.5,0.77,0.30,0.15,0.40,16.1,0.00,0.00,0.00,0.08,0.08,0.10,0.04,0.04,Matches
150,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,eng Premier League,31-303,1989,1.5,0.00,2.00,0.00,0.0,1.96,0.00,0.00,,19.3,0.00,0.00,0.00,0.13,0.13,0.07,-0.13,-0.13,Matches
151,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Osasuna,es La Liga,27-087,1994,1.3,0.00,1.54,0.77,50.0,1.53,0.76,0.00,0.00,17.5,0.00,0.00,0.00,0.23,0.23,0.17,-0.23,-0.23,Matches
152,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23-265,1997,14.3,0.35,1.82,0.91,50.0,1.81,0.91,0.19,0.38,11.4,0.00,0.00,0.00,0.45,0.45,0.25,-0.10,-0.10,Matches
153,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,de Bundesliga,19-084,2002,3.8,0.00,0.26,0.00,0.0,0.26,0.00,0.00,,27.3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
154,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,29-235,1991,21.2,0.05,0.99,0.42,42.9,0.99,0.42,0.05,0.11,17.6,0.00,0.00,0.00,0.08,0.08,0.09,-0.04,-0.04,Matches
155,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Sassuolo,it Serie A,26-175,1994,8.7,0.00,0.57,0.00,0.0,0.58,0.00,0.00,,15.1,0.23,0.00,0.00,0.06,0.06,0.10,-0.06,-0.06,Matches
156,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,eng Premier League,29-252,1991,33.8,0.00,0.65,0.15,22.7,0.65,0.15,0.00,0.00,18.3,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
157,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,es La Liga,28-143,1992,1.1,0.00,1.82,0.00,0.0,1.78,0.00,0.00,,13.0,0.00,0.00,0.00,0.18,0.18,0.08,-0.18,-0.18,Matches
158,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31-249,1989,20.5,0.05,0.49,0.20,40.0,0.49,0.20,0.10,0.25,15.3,0.00,0.00,0.00,0.04,0.04,0.08,0.01,0.01,Matches
159,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,34-345,1986,3.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
160,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,34-238,1986,7.1,0.28,2.11,1.13,53.3,2.11,1.12,0.13,0.25,13.1,0.00,0.00,0.00,0.37,0.37,0.17,-0.08,-0.08,Matches
161,Loïc Bade\Loic-Bade,fr FRA,DF,Lens,fr Ligue 1,21-023,2000,26.0,0.00,0.38,0.12,30.0,0.38,0.12,0.00,0.00,15.5,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches
162,Milan Badelj\Milan-Badelj,hr CRO,MF,Genoa,it Serie A,32-068,1989,25.4,0.04,0.67,0.16,23.5,0.67,0.16,0.06,0.25,23.7,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.02,Matches
163,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,29-081,1992,30.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
164,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,es La Liga,19-288,2001,1.4,0.00,1.43,0.71,50.0,1.43,0.71,0.00,0.00,24.0,0.00,0.00,0.00,0.07,0.07,0.03,-0.07,-0.07,Matches
165,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,es La Liga,21-038,2000,5.8,0.17,1.90,0.34,18.2,1.90,0.35,0.09,0.50,14.1,0.00,0.00,0.00,0.26,0.26,0.16,-0.09,-0.09,Matches
166,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,28-341,1992,16.7,0.36,3.29,1.38,41.8,3.30,1.38,0.11,0.26,16.6,0.00,0.00,0.06,0.43,0.38,0.12,-0.07,-0.02,Matches
167,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,23-268,1997,23.3,0.39,2.49,0.94,37.9,2.49,0.94,0.16,0.41,20.7,0.13,0.00,0.00,0.28,0.28,0.11,0.10,0.10,Matches
168,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27-022,1994,7.1,0.00,0.14,0.00,0.0,0.14,0.00,0.00,,11.0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
169,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-132,2001,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
170,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Napoli,it Serie A,26-260,1994,19.0,0.11,0.53,0.21,40.0,0.53,0.21,0.20,0.50,18.2,0.00,0.00,0.00,0.03,0.03,0.06,0.07,0.07,Matches
171,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20-318,2000,17.8,0.00,0.11,0.11,100.0,0.11,0.11,0.00,0.00,14.0,0.00,0.00,0.00,0.01,0.01,0.10,-0.01,-0.01,Matches
172,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,de Bundesliga,23-026,1998,26.8,0.22,1.12,0.41,36.7,1.12,0.41,0.20,0.55,18.3,0.00,0.00,0.00,0.10,0.10,0.09,0.12,0.12,Matches
173,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,de Bundesliga,23-026,1998,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
174,Dilane Bakwa\Dilane-Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,18-251,2002,0.6,0.00,5.00,3.33,66.7,4.82,3.21,0.00,0.00,22.8,0.00,0.00,0.00,0.17,0.17,0.03,-0.17,-0.17,Matches
175,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,29-254,1991,13.3,0.08,0.60,0.15,25.0,0.60,0.15,0.13,0.50,9.6,0.00,0.00,0.00,0.05,0.05,0.08,0.03,0.03,Matches
176,Keita Baldé\Keita-Balde,sn SEN,FW,Sampdoria,it Serie A,26-057,1995,11.4,0.44,3.33,1.49,44.7,3.35,1.50,0.13,0.29,13.4,0.00,0.00,0.00,0.43,0.43,0.13,0.01,0.01,Matches
177,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,28-056,1993,28.0,0.00,0.43,0.07,16.7,0.43,0.07,0.00,0.00,16.9,0.00,0.00,0.00,0.04,0.04,0.09,-0.04,-0.04,Matches
178,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,eng Premier League,31-292,1989,8.0,1.13,3.63,1.88,51.7,3.60,1.86,0.31,0.60,19.1,0.75,0.00,0.00,0.49,0.49,0.13,0.64,0.64,Matches
179,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,33-064,1988,14.8,0.00,0.20,0.07,33.3,0.20,0.07,0.00,0.00,30.5,0.07,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
180,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,Marseille,fr Ligue 1,22-098,1999,16.1,0.12,0.75,0.25,33.3,0.74,0.25,0.17,0.50,8.3,0.00,0.00,0.00,0.10,0.10,0.14,0.02,0.02,Matches
181,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Monaco,fr Ligue 1,24-121,1997,7.3,0.00,0.14,0.00,0.0,0.14,0.00,0.00,,13.2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
182,Botond Balogh\Botond-Balogh,hu HUN,DF,Parma,it Serie A,18-332,2002,1.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
183,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,31-009,1990,15.0,0.00,0.07,0.07,100.0,0.07,0.07,0.00,0.00,15.6,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
184,Jonathan Bamba\Jonathan-Bamba,fr FRA,MF,Lille,fr Ligue 1,25-039,1996,31.2,0.19,1.86,0.61,32.8,1.86,0.61,0.10,0.32,21.4,0.03,0.00,0.00,0.14,0.14,0.08,0.05,0.05,Matches
185,Robson Bambu\Robson-Bambu,br BRA,DF,Nice,fr Ligue 1,23-173,1997,11.6,0.00,0.17,0.09,50.0,0.17,0.09,0.00,0.00,14.2,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
186,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,eng Premier League,27-241,1993,30.9,0.45,3.14,1.23,39.2,3.14,1.23,0.13,0.34,12.7,0.00,0.03,0.03,0.49,0.46,0.15,-0.04,-0.04,Matches
187,Mattia Bani\Mattia-Bani,it ITA,DF,Genoa,it Serie A,27-145,1993,10.2,0.00,0.49,0.10,20.0,0.49,0.10,0.00,0.00,8.9,0.00,0.00,0.00,0.06,0.06,0.13,-0.06,-0.06,Matches
188,Mattia Bani\Mattia-Bani,it ITA,DF,Parma,it Serie A,27-145,1993,10.7,0.00,0.65,0.19,28.6,0.66,0.19,0.00,0.00,9.0,0.00,0.00,0.00,0.04,0.04,0.06,-0.04,-0.04,Matches
189,Simon Banza\Simon-Banza,fr FRA,FW,Lens,fr Ligue 1,24-264,1996,14.6,0.34,2.40,0.82,34.3,2.40,0.82,0.11,0.33,13.3,0.00,0.07,0.07,0.40,0.35,0.15,-0.06,-0.08,Matches
190,Antonín Barák\Antonin-Barak,cz CZE,MFFW,Hellas Verona,it Serie A,26-152,1994,28.2,0.25,1.38,0.50,35.9,1.38,0.50,0.18,0.50,15.0,0.04,0.00,0.00,0.19,0.19,0.14,0.06,0.06,Matches
191,Federico Barba\Federico-Barba,it ITA,DF,Benevento,it Serie A,27-245,1993,26.2,0.00,0.34,0.08,22.2,0.34,0.08,0.00,0.00,13.5,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches
192,Danilo Barbosa\Danilo-Barbosa,br BRA,DF,Nice,fr Ligue 1,25-065,1996,2.8,0.00,0.71,0.00,0.0,0.72,0.00,0.00,,20.0,0.36,0.00,0.00,0.07,0.07,0.12,-0.07,-0.07,Matches
193,Barcia\Barcia,es ESP,DF,Granada,es La Liga,20-124,2000,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
194,Melvin Bard\Melvin-Bard,fr FRA,DF,Lyon,fr Ligue 1,20-179,2000,4.8,0.00,0.42,0.21,50.0,0.42,0.21,0.00,0.00,16.8,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
195,Enis Bardhi\Enis-Bardhi,mk MKD,MFFW,Levante,es La Liga,25-306,1995,16.9,0.06,1.89,0.65,34.4,1.89,0.65,0.03,0.09,20.3,0.24,0.00,0.00,0.15,0.15,0.08,-0.09,-0.09,Matches
196,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,35-310,1985,3.0,0.00,1.33,0.00,0.0,1.31,0.00,0.00,,25.8,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
197,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,it Serie A,24-086,1997,29.8,0.10,1.11,0.30,27.3,1.11,0.30,0.09,0.33,20.4,0.00,0.00,0.00,0.08,0.08,0.08,0.02,0.02,Matches
198,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,32-062,1989,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
199,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,es La Liga,24-033,1997,13.2,0.15,1.36,0.76,55.6,1.36,0.76,0.11,0.20,16.1,0.00,0.00,0.00,0.12,0.12,0.09,0.03,0.03,Matches
200,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,eng Premier League,27-150,1993,15.5,0.19,2.39,0.71,29.7,2.39,0.71,0.08,0.27,18.1,0.13,0.00,0.00,0.21,0.21,0.09,-0.01,-0.01,Matches
201,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,eng Premier League,27-150,1993,0.5,0.00,2.00,2.00,100.0,2.14,2.14,0.00,0.00,28.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
202,Aymen Barkok\Aymen-Barkok,ma MAR,FWMF,Eint Frankfurt,de Bundesliga,22-348,1998,10.3,0.19,1.55,0.39,25.0,1.55,0.39,0.13,0.50,20.3,0.10,0.00,0.00,0.15,0.15,0.09,0.05,0.05,Matches
203,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,eng Premier League,31-186,1989,14.4,0.21,2.50,0.83,33.3,2.50,0.83,0.06,0.17,16.0,0.00,0.07,0.07,0.34,0.28,0.11,-0.13,-0.15,Matches
204,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23-146,1997,21.6,0.42,2.55,1.16,45.5,2.54,1.16,0.16,0.36,16.9,0.00,0.00,0.00,0.29,0.29,0.11,0.13,0.13,Matches
205,Marc Baró Ortiz\Marc-Baro-Ortiz,es ESP,DF,Cádiz,es La Liga,21-254,1999,1.0,0.00,1.00,1.00,100.0,1.00,1.00,0.00,0.00,23.6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
206,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,es La Liga,33-326,1987,21.8,0.00,0.23,0.00,0.0,0.23,0.00,0.00,,12.6,0.00,0.00,0.00,0.03,0.03,0.12,-0.03,-0.03,Matches
207,Antonio Barreca\Antonio-Barreca,it ITA,DF,Fiorentina,it Serie A,26-047,1995,0.9,0.00,2.22,1.11,50.0,2.12,1.06,0.00,0.00,14.1,0.00,0.00,0.00,0.22,0.22,0.12,-0.22,-0.22,Matches
208,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,21-121,2000,23.3,0.09,1.33,0.43,32.3,1.33,0.43,0.06,0.20,15.8,0.00,0.00,0.00,0.14,0.14,0.10,-0.06,-0.06,Matches
209,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,es La Liga,19-128,2001,12.9,0.23,1.63,0.47,28.6,1.63,0.46,0.14,0.50,19.2,0.00,0.00,0.00,0.12,0.12,0.07,0.12,0.12,Matches
210,Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,de Bundesliga,26-168,1994,11.7,0.00,0.17,0.00,0.0,0.17,0.00,0.00,,19.3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
211,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Bologna,it Serie A,22-171,1998,29.5,0.27,2.61,1.22,46.8,2.61,1.22,0.10,0.22,19.9,0.17,0.00,0.03,0.26,0.23,0.09,0.01,0.04,Matches
212,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,eng Premier League,29-347,1991,24.7,0.12,0.45,0.20,45.5,0.45,0.20,0.27,0.60,6.9,0.00,0.00,0.00,0.07,0.07,0.16,0.05,0.05,Matches
213,Paolo Bartolomei\Paolo-Bartolomei,it ITA,MF,Spezia,it Serie A,31-256,1989,3.6,0.00,1.11,0.00,0.0,1.13,0.00,0.00,,24.6,0.00,0.00,0.00,0.06,0.06,0.04,-0.06,-0.06,Matches
214,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,es La Liga,30-109,1991,14.8,0.00,0.74,0.27,36.4,0.74,0.27,0.00,0.00,18.0,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
215,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,29-053,1992,3.2,0.00,1.25,0.63,50.0,1.24,0.62,0.00,0.00,23.6,0.63,0.00,0.00,0.09,0.09,0.07,-0.09,-0.09,Matches
216,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,eng Premier League,32-288,1988,24.6,0.00,0.33,0.04,12.5,0.32,0.04,0.00,0.00,14.4,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
217,Toma Bašić\Toma-Basic,hr CRO,MF,Bordeaux,fr Ligue 1,24-160,1996,26.0,0.15,1.58,0.65,41.5,1.58,0.65,0.10,0.24,20.9,0.23,0.00,0.00,0.12,0.12,0.07,0.04,0.04,Matches
218,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Inter,it Serie A,22-021,1999,29.6,0.00,0.37,0.07,18.2,0.37,0.07,0.00,0.00,9.8,0.00,0.00,0.00,0.04,0.04,0.12,-0.04,-0.04,Matches
219,Simone Bastoni\Simone-Bastoni,it ITA,DF,Spezia,it Serie A,24-180,1996,15.2,0.07,1.25,0.13,10.5,1.25,0.13,0.05,0.50,20.3,0.07,0.00,0.00,0.08,0.08,0.07,-0.01,-0.01,Matches
220,Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,30-038,1991,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
221,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,27-214,1993,7.9,0.25,1.52,0.76,50.0,1.52,0.76,0.17,0.33,16.9,0.00,0.00,0.00,0.18,0.18,0.11,0.08,0.08,Matches
222,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,es La Liga,29-296,1991,25.5,0.04,0.51,0.20,38.5,0.51,0.20,0.08,0.20,14.5,0.00,0.00,0.00,0.03,0.03,0.06,0.01,0.01,Matches
