,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1553,Sekou Mara\Sekou-Mara,fr FRA,FW,Bordeaux,fr Ligue 1,18-278,2002,1.4,22.1,21.4,0.71,0.00,0.00,9.29,0.00,0.00,0.00,0.00,0.00,0.00,13.6,5.00,3.57,4.29,13.6,1.43,0.00,0.00,14.3,0.00,1.43,1.43,1.43,Matches
1554,Maranhão\Maranhao,br BRA,FW,Valladolid,es La Liga,24-196,1996,11.4,15.7,15.1,0.61,0.00,0.00,5.61,0.44,0.44,0.00,0.00,0.00,0.00,7.63,5.18,2.89,2.28,8.07,1.75,0.09,0.88,9.74,0.18,0.61,0.79,0.88,Matches
1555,Fernando Marçal\Fernando-Marcal,br BRA,DF,Wolves,eng Premier League,32-074,1989,6.8,52.6,42.9,9.71,0.88,0.15,6.76,0.59,1.32,0.00,0.00,0.00,0.00,28.8,11.9,11.9,35.6,5.44,1.91,8.82,0.00,43.8,0.29,0.59,0.74,1.03,Matches
1556,Fernando Marçal\Fernando-Marcal,br BRA,DF,Lyon,fr Ligue 1,32-074,1989,0.9,78.9,74.4,4.44,2.22,0.00,3.33,6.67,3.33,0.00,0.00,0.00,0.00,55.6,12.2,11.1,57.8,11.1,4.44,2.22,1.11,71.1,0.00,3.33,1.11,0.00,Matches
1557,Marcelo\Marcelo,br BRA,DF,Real Madrid,es La Liga,32-357,1988,10.7,74.7,65.8,8.88,1.21,0.19,6.17,2.43,3.36,0.00,0.00,0.00,0.00,47.2,14.6,12.9,57.9,7.48,1.12,7.66,0.28,60.5,0.37,1.12,1.50,1.78,Matches
1558,Marcelo\Marcelo,br BRA,DF,Lyon,fr Ligue 1,33-349,1987,30.3,63.2,61.5,1.72,1.45,0.00,5.18,2.15,0.17,0.00,0.00,0.00,0.00,50.0,3.96,9.31,4.95,53.1,2.61,0.26,0.20,56.1,0.10,0.83,0.53,0.26,Matches
1559,Solly March\Solly-March,eng ENG,DF,Brighton,eng Premier League,26-288,1994,18.6,52.4,41.9,10.5,1.13,0.00,6.67,2.53,3.82,2.10,0.75,1.02,0.00,26.9,9.52,16.0,39.3,3.17,1.67,7.26,0.27,36.6,0.27,0.70,1.08,2.69,Matches
1560,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,it Serie A,38-086,1983,2.7,33.3,22.2,11.1,1.85,0.00,3.70,0.37,0.00,0.00,0.00,0.00,0.00,21.9,0.74,10.7,16.3,13.0,0.00,0.00,4.07,27.4,0.00,0.37,0.00,0.37,Matches
1561,Riccardo Marchizza\Riccardo-Marchizza,it ITA,DF,Spezia,it Serie A,23-039,1998,15.3,57.6,46.5,11.0,1.31,0.13,8.30,1.44,2.16,1.37,0.00,0.92,0.13,35.9,10.5,11.2,40.7,6.60,0.98,8.37,0.00,46.1,0.00,0.33,1.18,2.22,Matches
1562,Gian Marco Ferrari\Gian-Marco-Ferrari,it ITA,DF,Sassuolo,it Serie A,29-078,1992,29.5,79.1,75.8,3.29,2.14,0.03,5.97,0.95,0.10,0.00,0.00,0.00,0.00,66.6,5.19,7.29,67.1,7.80,2.24,0.44,0.31,73.3,0.10,0.34,0.75,0.58,Matches
1563,Iván Marcone\Ivan-Marcone,ar ARG,MF,Elche,es La Liga,30-335,1990,27.6,52.1,50.0,2.03,1.96,0.04,9.24,1.70,0.11,0.04,0.04,0.00,0.00,38.2,5.43,8.41,4.38,45.4,1.49,0.00,0.14,45.0,0.11,0.65,1.27,0.98,Matches
1564,Óscar de Marcos\Oscar-de-Marcos,es ESP,DFMF,Athletic Club,es La Liga,32-020,1989,13.8,43.8,36.7,7.10,0.65,0.00,4.35,0.43,2.61,0.07,0.00,0.00,0.00,25.3,10.2,8.26,3.04,32.0,1.81,6.38,0.29,32.9,0.07,0.94,1.81,2.17,Matches
1565,Dario Maresic\Dario-Maresic,at AUT,DF,Reims,fr Ligue 1,21-217,1999,4.7,60.0,57.2,2.77,0.85,0.00,3.40,2.34,0.64,0.00,0.00,0.00,0.00,39.6,6.17,14.3,7.23,47.9,2.13,1.91,0.43,48.9,0.43,2.13,1.06,0.85,Matches
1566,José Mari\Jose-Mari,es ESP,MF,Cádiz,es La Liga,33-149,1987,13.3,30.1,28.0,2.03,1.73,0.08,6.62,1.65,0.30,0.15,0.00,0.15,0.00,16.4,4.74,8.95,2.78,23.3,1.95,0.08,0.15,21.3,0.08,1.35,0.30,0.53,Matches
1567,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,eng Premier League,27-246,1993,9.0,61.2,60.4,0.78,0.44,0.00,4.89,1.11,0.00,0.00,0.00,0.00,0.00,50.7,3.78,6.78,49.2,7.67,2.33,0.33,0.11,55.4,0.00,0.89,0.67,0.22,Matches
1568,José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,es La Liga,26-104,1995,18.6,57.0,54.2,2.80,1.67,0.05,3.55,2.53,0.05,0.00,0.00,0.00,0.00,44.4,3.76,8.87,8.92,43.7,1.83,1.08,0.43,50.2,0.22,0.91,0.43,0.59,Matches
1569,Mariano\Mariano,do DOM,FW,Real Madrid,es La Liga,27-276,1993,5.3,17.7,15.8,1.89,0.00,0.00,6.04,0.19,0.00,0.00,0.00,0.00,0.00,12.5,3.02,2.26,2.64,12.1,0.75,0.19,0.00,13.4,0.00,0.00,0.38,0.75,Matches
1570,Jordan Marié\Jordan-Marie,fr FRA,MF,Dijon,fr Ligue 1,29-217,1991,13.1,43.5,42.4,1.07,0.53,0.08,6.87,1.98,0.46,0.53,0.08,0.46,0.00,28.5,5.57,9.39,4.35,35.9,2.44,0.00,0.15,34.0,0.15,0.84,1.07,0.84,Matches
1571,Adrián Marín\Adrian-Marin,es ESP,DFMF,Alavés,es La Liga,24-115,1997,1.0,54.0,44.0,10.0,1.00,1.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,24.0,20.0,10.0,36.0,3.00,4.00,9.00,0.00,40.0,1.00,0.00,1.00,2.00,Matches
1572,Adrián Marín\Adrian-Marin,es ESP,DF,Granada,es La Liga,24-115,1997,2.1,39.0,29.5,9.52,0.48,0.00,5.24,0.48,0.95,0.00,0.00,0.00,0.00,15.7,5.24,18.1,24.8,0.48,4.29,9.05,0.00,27.6,0.48,0.48,0.48,0.48,Matches
1573,Răzvan Marin\Razvan-Marin,ro ROU,MF,Cagliari,it Serie A,24-346,1996,29.4,52.2,45.5,6.70,2.99,0.03,6.80,1.87,1.33,3.30,0.88,1.53,0.34,37.6,5.00,9.63,5.37,44.6,1.33,0.31,0.20,42.7,0.27,0.44,1.02,1.09,Matches
1574,Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Monaco,fr Ligue 1,26-363,1994,20.5,69.7,67.9,1.76,1.61,0.00,4.93,2.05,0.05,0.00,0.00,0.00,0.00,58.1,3.90,7.61,4.88,60.7,2.29,0.15,0.29,62.6,0.05,0.88,1.22,0.39,Matches
1575,Marlon\Marlon,br BRA,DF,Sassuolo,it Serie A,25-239,1995,18.4,82.2,80.3,1.90,1.85,0.00,6.68,0.76,0.00,0.00,0.00,0.00,0.00,75.6,3.26,3.37,7.07,72.7,1.30,0.00,0.38,79.2,0.11,0.27,0.38,0.33,Matches
1576,Omar Marmoush\Omar-Marmoush,eg EGY,FW,Wolfsburg,de Bundesliga,22-086,1999,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Matches
1577,Marquinhos\Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,26-355,1994,20.6,73.9,72.5,1.46,1.31,0.05,5.29,1.65,0.10,0.00,0.00,0.00,0.00,62.5,4.37,7.04,10.9,59.7,1.84,0.15,0.49,68.9,0.24,0.34,0.68,0.29,Matches
1578,Luca Marrone\Luca-Marrone,it ITA,DF,Crotone,it Serie A,31-037,1990,15.1,60.5,56.8,3.77,3.77,0.00,5.03,0.66,0.00,0.00,0.00,0.00,0.00,47.5,4.30,8.74,11.7,45.2,2.58,0.00,0.33,52.7,0.00,0.60,0.73,0.40,Matches
1579,Roger Martí\Roger-Marti,es ESP,FW,Levante,es La Liga,30-121,1991,22.3,21.6,19.9,1.66,0.04,0.09,4.71,0.58,0.72,0.00,0.00,0.00,0.00,14.8,3.54,3.27,2.51,17.0,0.85,0.00,0.63,14.8,0.22,0.36,0.99,1.26,Matches
1580,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,eng Premier League,25-150,1995,16.4,29.8,29.1,0.67,0.12,0.18,6.34,0.18,0.73,0.00,0.00,0.00,0.00,25.5,2.62,1.59,3.90,24.4,0.67,0.06,0.18,24.6,0.12,0.49,1.16,1.28,Matches
1581,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,de Bundesliga,24-012,1997,2.9,58.3,43.4,14.8,0.69,0.00,5.17,1.03,4.48,1.03,0.00,0.69,0.00,25.5,15.5,17.2,42.4,2.07,0.69,13.1,0.00,42.1,0.00,1.03,1.03,2.76,Matches
1582,Aarón Martín\Aaron-Martin,es ESP,DF,Celta Vigo,es La Liga,24-012,1997,13.1,51.7,41.6,10.1,1.15,0.08,3.36,0.69,2.44,0.00,0.00,0.00,0.00,31.9,10.2,9.62,38.5,3.28,0.46,8.93,0.00,41.6,0.00,0.53,1.07,1.60,Matches
1583,Álex Martín\Alex-Martin,es ESP,DF,Cádiz,es La Liga,23-099,1998,0.1,30.0,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,10.0,0.00,30.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Matches
1584,Jonas Martin\Jonas-Martin,fr FRA,MF,Rennes,fr Ligue 1,31-025,1990,5.4,71.1,68.7,2.41,2.04,0.00,7.59,0.93,0.37,0.00,0.00,0.00,0.00,58.5,6.48,6.11,11.5,55.7,2.41,0.19,0.00,63.0,0.00,0.74,1.11,1.48,Matches
1585,Martinelli\Martinelli,br BRA,FW,Arsenal,eng Premier League,19-320,2001,5.7,24.4,24.0,0.35,0.00,0.00,2.98,0.18,2.28,0.00,0.00,0.00,0.00,18.4,3.16,2.81,4.56,18.1,0.88,0.18,0.00,19.8,0.35,0.18,0.35,0.53,Matches
1586,Lucas Martínez Quarta\Lucas-Martinez-Quarta,ar ARG,DF,Fiorentina,it Serie A,24-359,1996,15.5,48.9,46.1,2.84,1.81,0.00,3.23,2.00,0.19,0.00,0.00,0.00,0.00,34.6,4.39,9.94,8.97,36.5,1.23,1.03,0.00,40.5,0.19,0.90,1.23,0.65,Matches
1587,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,eng Premier League,28-244,1992,33.0,34.1,24.0,10.2,3.33,0.00,3.21,1.27,0.00,0.00,0.00,0.00,0.00,13.6,1.42,19.1,3.61,23.2,0.00,0.00,3.88,22.4,0.18,1.27,0.12,0.09,Matches
1588,Iñigo Martínez\Inigo-Martinez,es ESP,DF,Athletic Club,es La Liga,29-352,1991,25.0,51.6,48.4,3.20,2.80,0.04,4.92,2.84,0.32,0.00,0.00,0.00,0.00,34.7,5.52,11.4,37.0,10.0,2.88,0.40,0.24,43.2,0.20,0.96,1.08,0.80,Matches
1589,Javi Martínez\Javi-Martinez,es ESP,MFFW,Osasuna,es La Liga,21-133,1999,4.3,29.5,29.3,0.23,0.00,0.00,4.65,0.93,0.47,0.00,0.00,0.00,0.00,17.0,5.35,7.21,3.49,21.2,3.95,0.00,0.23,20.0,0.00,0.47,0.70,1.40,Matches
1590,Javi Martínez\Javi-Martinez,es ESP,MFDF,Bayern Munich,de Bundesliga,32-244,1988,4.6,79.1,77.4,1.74,1.30,0.00,7.83,0.87,0.00,0.00,0.00,0.00,0.00,64.8,5.22,9.13,14.6,57.8,3.91,0.43,0.43,71.5,0.22,1.09,0.65,0.00,Matches
1591,Lautaro Martínez\Lautaro-Martinez,ar ARG,FW,Inter,it Serie A,23-255,1997,25.6,20.4,19.9,0.51,0.04,0.04,6.02,0.82,0.63,0.00,0.00,0.00,0.00,13.0,4.69,2.66,3.16,15.1,0.82,0.16,0.43,14.6,0.00,0.20,1.09,0.94,Matches
1592,Pablo Martinez\Pablo-Martinez,fr FRA,DF,Nîmes,fr Ligue 1,32-072,1989,6.0,49.8,47.2,2.67,2.50,0.00,4.50,3.83,0.00,0.00,0.00,0.00,0.00,32.7,4.83,12.3,39.3,7.00,3.00,0.17,0.00,41.7,0.17,2.00,0.17,0.33,Matches
1593,Gelson Martins\Gelson-Martins,pt POR,MFFW,Monaco,fr Ligue 1,25-358,1995,15.4,36.2,36.0,0.19,0.00,0.00,6.23,0.19,1.62,0.00,0.00,0.00,0.00,30.3,3.31,2.60,4.74,30.0,0.71,0.06,0.19,30.1,0.06,0.52,0.91,1.04,Matches
1594,Adam Marušić\Adam-Marusic,me MNE,DF,Lazio,it Serie A,28-199,1992,29.2,45.3,39.1,6.20,0.68,0.03,4.59,1.06,1.47,0.00,0.00,0.00,0.00,30.0,8.39,6.95,4.45,32.2,2.19,5.51,0.38,37.6,0.07,0.38,1.06,1.16,Matches
1595,Sylvain Marveaux\Sylvain-Marveaux,fr FRA,MFFW,Lorient,fr Ligue 1,35-019,1986,2.2,38.6,37.3,1.36,0.45,0.45,5.45,0.00,0.45,0.00,0.00,0.00,0.00,30.0,2.73,5.91,30.5,5.45,1.36,0.45,0.00,31.4,0.00,0.45,0.45,0.45,Matches
1596,Marvin\Marvin,es ESP,DFFW,Real Madrid,es La Liga,20-305,2000,1.0,60.0,50.0,10.0,0.00,0.00,12.0,1.00,4.00,0.00,0.00,0.00,0.00,39.0,16.0,5.00,3.00,43.0,0.00,10.0,0.00,49.0,0.00,1.00,1.00,1.00,Matches
1597,Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,de Bundesliga,28-091,1993,19.6,45.1,42.8,2.24,1.73,0.20,7.76,1.73,0.26,0.51,0.20,0.26,0.05,30.2,5.56,9.34,8.37,33.5,2.04,0.00,0.10,37.0,0.26,0.56,0.46,0.87,Matches
1598,Andrea Masiello\Andrea-Masiello,it ITA,DF,Genoa,it Serie A,35-088,1986,25.0,48.6,46.6,2.04,1.44,0.00,3.56,2.00,0.20,0.00,0.00,0.00,0.00,34.0,5.28,9.40,8.08,36.6,2.60,0.60,0.16,41.8,0.08,0.76,0.56,0.40,Matches
1599,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,32-121,1989,22.0,31.9,19.4,12.5,3.50,0.00,1.73,0.45,0.00,0.00,0.00,0.00,0.00,7.73,1.27,22.9,0.68,24.5,0.00,0.00,3.50,16.0,0.18,1.09,0.09,0.05,Matches
1600,Roberto Massimo\Roberto-Massimo,de GER,DFFW,Stuttgart,de Bundesliga,20-204,2000,6.4,33.1,27.5,5.63,0.47,0.00,7.03,0.63,0.78,0.00,0.00,0.00,0.00,20.9,7.19,5.00,5.16,20.3,1.72,5.00,0.16,24.5,0.31,0.47,0.63,2.66,Matches
1601,Giuseppe Mastinu\Giuseppe-Mastinu,it ITA,FW,Spezia,it Serie A,29-207,1991,0.4,30.0,30.0,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,20.0,5.00,5.00,27.5,0.00,0.00,0.00,2.50,22.5,0.00,0.00,0.00,0.00,Matches
1602,Arthur Masuaku\Arthur-Masuaku,cd COD,DFFW,West Ham,eng Premier League,27-178,1993,11.2,49.3,45.4,3.93,0.00,0.00,8.57,1.61,2.95,0.00,0.00,0.00,0.00,36.2,5.98,7.14,41.6,1.52,1.34,3.93,0.09,39.5,0.27,1.25,1.07,2.05,Matches
1603,Jaime Mata\Jaime-Mata,es ESP,FW,Getafe,es La Liga,32-192,1988,20.5,26.5,25.3,1.17,0.00,0.00,7.46,0.44,1.71,0.05,0.05,0.00,0.00,14.0,6.49,6.00,2.88,16.4,3.07,0.39,0.78,17.4,0.10,0.54,0.78,1.41,Matches
1604,Juan Mata\Juan-Mata,es ESP,FW,Manchester Utd,eng Premier League,33-006,1988,3.8,50.8,48.2,2.63,1.05,0.26,8.68,1.32,1.32,1.58,0.00,1.58,0.00,40.5,3.16,7.11,41.3,7.89,0.53,0.00,0.79,42.1,0.26,0.00,1.58,0.79,Matches
1605,Pape Matar Sarr\Pape-Matar-Sarr,sn SEN,MF,Metz,fr Ligue 1,18-232,2002,14.7,50.6,49.3,1.29,1.09,0.00,8.91,2.45,0.20,0.20,0.00,0.07,0.00,40.0,4.97,5.65,5.58,42.7,1.29,0.00,0.14,43.1,0.14,1.16,1.36,1.22,Matches
1606,Eliot Matazo\Eliot-Matazo,be BEL,MF,Monaco,fr Ligue 1,19-078,2002,2.6,29.6,29.2,0.38,0.38,0.00,2.69,0.38,0.00,0.00,0.00,0.00,0.00,23.8,4.23,1.54,3.08,23.8,2.31,0.00,0.00,24.6,0.00,0.38,0.77,0.00,Matches
1607,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Crystal Palace,eng Premier League,23-310,1997,2.3,19.6,17.8,1.74,0.00,0.00,9.13,0.00,0.43,0.00,0.00,0.00,0.00,12.6,4.78,2.17,2.17,10.4,2.17,0.00,0.43,12.2,0.43,0.43,0.87,0.87,Matches
1608,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,de Bundesliga,23-310,1997,11.1,22.7,20.2,2.52,0.00,0.09,5.86,0.18,0.36,0.09,0.09,0.00,0.00,15.1,4.68,2.88,4.14,14.1,1.89,0.00,0.72,16.4,0.09,0.27,0.09,1.17,Matches
1609,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,eng Premier League,32-276,1988,10.2,79.1,76.7,2.45,2.16,0.10,11.0,2.55,0.39,0.00,0.00,0.00,0.00,66.6,5.29,7.25,66.8,9.61,1.47,0.29,0.00,72.2,0.20,0.29,1.08,1.08,Matches
1610,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,eng Premier League,29-269,1991,7.7,68.4,67.3,1.17,1.17,0.13,5.32,0.91,0.00,0.00,0.00,0.00,0.00,53.4,6.49,8.57,9.48,54.0,2.99,0.00,0.00,60.5,0.00,0.52,1.04,0.65,Matches
1611,Rabbi Matondo\Rabbi-Matondo,wal WAL,FWMF,Schalke 04,de Bundesliga,20-237,2000,2.4,16.7,16.7,0.00,0.00,0.00,5.42,0.83,0.42,0.00,0.00,0.00,0.00,12.9,2.50,1.25,3.75,11.7,0.83,0.00,0.00,14.2,0.00,0.00,0.00,1.67,Matches
1612,Ryder Matos\Ryder-Matos,br BRA,MF,Udinese,it Serie A,28-066,1993,0.1,70.0,70.0,0.00,0.00,0.00,10.0,10.0,20.0,0.00,0.00,0.00,0.00,40.0,0.00,30.0,0.00,60.0,10.0,0.00,0.00,50.0,0.00,10.0,0.00,0.00,Matches
1613,Chrislain Matsima\Chrislain-Matsima,fr FRA,DF,Monaco,fr Ligue 1,18-354,2002,3.9,69.7,66.7,3.08,1.79,0.00,3.85,2.82,0.51,0.00,0.00,0.00,0.00,56.9,5.64,7.18,4.10,60.8,2.05,1.28,0.26,62.6,0.26,0.77,0.00,1.54,Matches
1614,Federico Mattiello\Federico-Mattiello,it ITA,DF,Spezia,it Serie A,25-294,1995,0.4,105.0,87.5,17.5,0.00,0.00,10.0,2.50,2.50,0.00,0.00,0.00,0.00,45.0,22.5,37.5,42.5,40.0,0.00,17.5,2.50,72.5,0.00,0.00,0.00,5.00,Matches
1615,Neal Maupay\Neal-Maupay,fr FRA,FWMF,Brighton,eng Premier League,24-263,1996,26.9,23.3,21.3,2.01,0.22,0.07,5.91,0.48,0.37,0.00,0.00,0.00,0.00,17.7,3.16,2.45,4.35,16.6,0.74,0.26,0.63,18.0,0.04,0.37,1.19,0.89,Matches
1616,Tony Mauricio\Tony-Mauricio,fr FRA,MF,Lens,fr Ligue 1,27-043,1994,5.4,61.7,52.2,9.44,3.52,0.00,11.1,3.89,1.11,5.37,2.04,2.04,0.37,44.1,5.74,11.9,49.8,9.26,1.67,0.37,0.19,49.8,0.00,0.37,2.41,2.59,Matches
1617,Stephy Mavididi\Stephy-Mavididi,eng ENG,FWMF,Montpellier,fr Ligue 1,22-338,1998,19.7,23.2,22.5,0.76,0.05,0.15,4.72,0.30,0.91,0.00,0.00,0.00,0.00,17.5,3.91,1.83,3.30,18.0,0.91,0.36,0.30,18.3,0.10,0.56,0.41,1.37,Matches
1618,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,23-144,1997,15.4,63.5,55.1,8.44,2.21,0.00,6.82,3.70,0.32,0.06,0.00,0.00,0.00,38.3,9.87,15.3,9.35,43.0,3.25,6.17,0.39,50.0,0.19,0.91,2.66,1.36,Matches
1619,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Bayern Munich,de Bundesliga,32-042,1989,8.9,23.4,22.9,0.45,0.00,0.11,7.30,0.00,0.11,0.00,0.00,0.00,0.00,17.6,4.49,1.24,4.04,16.4,1.01,0.11,0.79,18.8,0.11,0.00,1.12,0.67,Matches
1620,Borja Mayoral\Borja-Mayoral,es ESP,FW,Real Madrid,es La Liga,24-029,1997,0.3,16.7,16.7,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,0.00,0.00,10.0,3.33,3.33,3.33,13.3,0.00,0.00,0.00,10.0,0.00,0.00,0.00,3.33,Matches
1621,Borja Mayoral\Borja-Mayoral,es ESP,FW,Roma,it Serie A,24-029,1997,15.6,21.4,19.9,1.54,0.06,0.00,5.13,0.83,0.45,0.00,0.00,0.00,0.00,14.8,3.27,3.33,4.17,15.2,0.71,0.06,0.45,17.0,0.00,0.13,0.58,0.58,Matches
1622,Youssef Maziz\Youssef-Maziz,fr FRA,MFFW,Metz,fr Ligue 1,22-314,1998,2.4,39.2,31.7,7.50,2.92,0.00,5.42,1.25,1.25,2.50,0.83,0.83,0.42,25.4,5.00,8.75,3.75,33.8,0.83,0.00,0.00,27.5,0.00,0.42,2.08,1.25,Matches
1623,Antonio Mazzotta\Antonio-Mazzotta,it ITA,DF,Crotone,it Serie A,31-275,1989,0.6,18.3,15.0,3.33,1.67,0.00,3.33,1.67,1.67,0.00,0.00,0.00,0.00,10.0,1.67,6.67,13.3,3.33,0.00,1.67,0.00,11.7,0.00,0.00,1.67,0.00,Matches
1624,Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,26-015,1995,15.9,55.6,45.8,9.75,0.13,0.00,6.67,1.32,2.96,0.00,0.00,0.00,0.00,28.2,12.9,14.5,6.92,34.9,2.83,9.62,0.00,38.4,0.31,1.45,2.39,3.52,Matches
1625,Kylian Mbappé\Kylian-Mbappe,fr FRA,FW,Paris S-G,fr Ligue 1,22-135,1998,24.6,38.6,36.6,1.99,0.24,0.16,5.85,0.57,2.48,0.57,0.20,0.00,0.00,32.5,4.07,2.07,7.68,29.8,0.33,0.61,0.16,30.3,0.08,0.41,1.46,1.75,Matches
1626,Ibrahima Mbaye\Ibrahima-Mbaye,sn SEN,DF,Bologna,it Serie A,26-166,1994,4.8,43.3,35.0,8.33,0.63,0.00,6.25,0.42,0.42,0.00,0.00,0.00,0.00,27.1,9.17,7.08,3.54,28.3,1.88,7.71,0.00,35.0,0.00,0.63,0.83,1.67,Matches
1627,Jean-Manuel Mbom\Jean-Manuel-Mbom,de GER,MFDF,Werder Bremen,de Bundesliga,21-069,2000,12.3,27.3,25.1,2.20,0.08,0.00,6.10,0.81,0.98,0.00,0.00,0.00,0.00,15.9,5.45,6.02,3.01,19.0,1.22,2.11,0.24,19.0,0.08,1.30,0.49,0.89,Matches
1628,Nathanael Mbuku\Nathanael-Mbuku,fr FRA,MFFW,Reims,fr Ligue 1,19-049,2002,22.0,22.6,21.6,1.05,0.23,0.27,4.95,0.68,0.91,0.55,0.32,0.09,0.00,16.3,2.91,3.41,18.7,2.00,0.64,0.14,0.18,17.2,0.14,0.32,0.82,0.64,Matches
1629,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,eng Premier League,33-209,1987,16.3,47.2,44.6,2.58,1.04,0.00,8.59,0.92,0.43,0.00,0.00,0.00,0.00,32.1,6.20,8.90,12.1,30.9,2.45,0.49,0.18,38.5,0.18,0.92,1.41,1.35,Matches
1630,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,eng Premier League,24-334,1996,14.7,29.0,28.3,0.68,0.07,0.20,12.0,0.07,0.20,0.00,0.00,0.00,0.00,13.7,7.28,7.96,1.56,15.4,3.74,0.00,0.54,18.2,0.14,0.61,0.82,1.36,Matches
1631,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,31-152,1989,27.0,36.1,27.0,9.11,3.41,0.00,4.63,1.19,0.00,0.00,0.00,0.00,0.00,16.3,1.22,18.6,5.19,25.0,0.11,0.00,4.11,22.7,0.26,1.11,0.22,0.07,Matches
1632,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,eng Premier League,30-173,1990,6.5,37.4,35.7,1.69,0.77,0.00,5.38,1.69,0.46,0.92,0.62,0.15,0.15,22.5,5.08,9.85,9.38,25.4,1.85,0.00,0.00,28.9,0.00,0.77,0.77,1.69,Matches
1633,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,eng Premier League,26-198,1994,32.0,37.8,35.7,2.09,1.06,0.22,6.41,2.16,0.88,0.31,0.06,0.16,0.00,24.2,4.56,9.03,29.0,6.50,1.31,0.19,0.06,29.1,0.41,0.66,1.38,1.00,Matches
1634,David McGoldrick\David-McGoldrick,ie IRL,FWMF,Sheffield Utd,eng Premier League,33-156,1987,22.6,34.1,32.9,1.15,0.13,0.04,7.79,0.66,0.97,0.00,0.00,0.00,0.00,24.3,4.96,4.78,3.36,25.7,1.73,0.44,0.22,25.1,0.09,0.44,0.97,1.24,Matches
1635,Weston McKennie\Weston-McKennie,us USA,MF,Juventus,it Serie A,22-249,1998,17.1,41.9,40.8,1.11,0.35,0.23,7.72,0.82,0.88,0.00,0.00,0.00,0.00,30.5,5.85,5.56,7.66,30.8,1.29,0.76,0.23,35.6,0.12,0.82,0.99,0.76,Matches
1636,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,eng Premier League,21-163,1999,30.6,39.0,34.3,4.67,2.19,0.16,7.25,3.14,3.37,1.96,1.67,0.13,0.07,24.1,4.22,10.7,35.1,1.73,1.05,0.52,0.07,27.1,0.26,1.05,0.69,2.06,Matches
1637,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,eng Premier League,24-147,1996,21.0,52.3,50.7,1.62,1.24,0.00,5.90,1.81,0.43,0.00,0.00,0.00,0.00,43.1,3.38,5.81,4.33,44.5,2.10,0.38,0.14,46.0,0.05,0.48,0.81,0.86,Matches
1638,Gary Medel\Gary-Medel,cl CHI,DFMF,Bologna,it Serie A,33-274,1987,5.1,58.6,55.1,3.53,2.75,0.00,3.33,2.35,0.00,0.00,0.00,0.00,0.00,43.3,8.24,7.06,6.86,46.9,2.55,0.78,0.59,54.1,0.00,0.20,0.39,0.39,Matches
1639,Facundo Medina\Facundo-Medina,ar ARG,DF,Lens,fr Ligue 1,21-341,1999,20.7,70.9,68.5,2.42,1.88,0.00,7.68,2.75,0.10,0.00,0.00,0.00,0.00,56.3,4.83,9.76,62.3,5.65,1.59,0.53,0.10,61.5,0.05,0.82,1.16,1.64,Matches
