 
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
213,Paolo Bartolomei\Paolo-Bartolomei,it ITA,MF,Spezia,it Serie A,31-256,1989,3.6,25.6,35.3,72.4,437.2,93.3,11.9,13.6,87.8,10.3,13.1,78.7,2.22,6.39,34.8,0.28,0.08,0.19,1.39,2.78,0.83,0.28,2.78,Matches
214,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,es La Liga,30-109,1991,14.8,46.0,55.7,82.5,1000.8,283.6,13.7,14.7,93.1,24.0,27.2,88.3,7.97,13.3,59.9,0.00,0.00,0.00,0.14,1.76,0.07,0.00,1.82,Matches
215,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,29-053,1992,3.2,38.1,50.9,74.8,747.2,231.3,15.6,19.7,79.4,13.8,18.4,74.6,6.88,9.06,75.9,0.00,0.06,-0.06,1.25,4.06,0.31,0.00,5.31,Matches
216,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,eng Premier League,32-288,1988,24.6,30.9,38.4,80.5,550.8,162.8,14.1,15.8,88.9,13.0,15.5,83.7,3.41,5.69,60.0,0.04,0.03,0.01,0.37,1.91,0.57,0.28,2.20,Matches
217,Toma Bašić\Toma-Basic,hr CRO,MF,Bordeaux,fr Ligue 1,24-160,1996,26.0,38.0,45.5,83.5,748.8,149.1,14.3,15.7,91.4,18.0,19.6,91.6,5.31,8.96,59.2,0.00,0.06,-0.06,0.88,2.73,0.54,0.19,2.73,Matches
218,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Inter,it Serie A,22-021,1999,29.6,62.9,70.4,89.4,1270.2,347.6,22.1,23.3,94.9,29.7,31.7,93.6,10.0,13.5,73.8,0.10,0.06,0.04,0.37,5.17,0.54,0.10,4.02,Matches
219,Simone Bastoni\Simone-Bastoni,it ITA,DF,Spezia,it Serie A,24-180,1996,15.2,48.5,63.6,76.2,913.8,314.2,21.6,24.4,88.7,18.4,22.2,82.5,7.57,13.5,56.1,0.39,0.20,0.20,1.64,3.22,1.51,0.39,4.61,Matches
220,Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,30-038,1991,0.7,55.7,60.0,92.9,924.3,228.6,25.7,28.6,90.0,22.9,24.3,94.1,4.29,4.29,100.0,0.00,0.00,0.00,0.00,1.43,2.86,0.00,2.86,Matches
221,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,27-214,1993,7.9,14.4,20.5,70.4,212.4,41.1,7.72,9.87,78.2,4.81,6.71,71.7,1.01,1.27,80.0,0.13,0.18,-0.05,0.89,0.76,0.38,0.13,1.27,Matches
222,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,es La Liga,29-296,1991,25.5,30.1,35.9,83.8,563.1,121.5,12.8,14.2,90.1,12.9,14.5,89.4,3.73,5.73,65.1,0.00,0.01,-0.01,0.12,2.12,0.16,0.04,1.69,Matches
