,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
2418,Neven Subotić\Neven-Subotic,rs SRB,DF,Union Berlin,de Bundesliga,30,1988,21.8,46.1,4.50,22.1,23.9,3.21,0.64,45.0,0.14,0.23,60.0,0.14,0.00,22.4,130.7,70.5,2.66,0.73,0.00,0.18,0.23,23.4,22.4,95.5,0.32,Matches
2419,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,eng Premier League,23,1996,0.8,41.3,0.00,2.50,15.0,30.0,3.75,41.3,1.25,5.00,25.0,2.50,0.00,35.0,167.5,101.3,7.50,2.50,2.50,3.75,2.50,68.8,33.8,49.1,12.5,Matches
2420,Marek Suchý\Marek-Suchy,cz CZE,DF,Augsburg,de Bundesliga,31,1988,4.4,53.0,7.73,35.2,19.1,0.91,0.23,52.0,0.23,0.23,100.0,0.23,0.00,32.7,170.9,87.3,1.36,0.00,0.00,0.00,0.00,33.4,33.2,99.3,0.23,Matches
2421,Niklas Süle\Niklas-Sule,de GER,DF,Bayern Munich,de Bundesliga,23,1995,7.1,95.8,12.0,54.2,46.1,2.68,0.70,95.4,0.28,0.28,100.0,0.28,0.00,73.0,386.5,216.9,4.51,0.14,0.00,0.42,0.14,77.3,77.0,99.6,0.85,Matches
2422,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Mallorca,es La Liga,30,1989,0.1,50.0,0.00,0.00,50.0,10.0,0.00,40.0,0.00,10.0,0.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,20.0,10.0,50.0,0.00,Matches
2423,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,eng Premier League,30,1989,1.5,52.7,2.67,16.0,24.0,16.7,0.00,49.3,2.00,2.00,100.0,2.00,0.00,37.3,176.0,82.7,2.67,1.33,0.00,0.67,0.67,35.3,34.0,96.2,2.00,Matches
2424,Stoppila Sunzu\Stoppila-Sunzu,zm ZAM,DF,Metz,fr Ligue 1,30,1989,15.0,45.4,7.73,29.5,16.8,0.73,0.40,44.5,0.13,0.20,66.7,0.20,0.00,27.5,99.8,38.3,0.60,0.07,0.00,0.07,0.20,26.9,26.0,96.8,0.40,Matches
2425,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,eng Premier League,32,1986,2.6,56.9,3.46,21.9,28.1,8.46,0.00,53.5,0.38,0.38,100.0,0.38,0.00,28.1,118.8,35.4,0.77,0.00,0.00,1.15,0.38,31.9,30.4,95.2,1.15,Matches
2426,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,eng Premier League,21,1998,0.3,66.7,0.00,6.67,16.7,43.3,16.7,66.7,3.33,6.67,50.0,3.33,0.00,36.7,103.3,30.0,3.33,0.00,0.00,13.3,3.33,120.0,56.7,47.2,30.0,Matches
2427,Suso\Suso,es ESP,FWMF,Sevilla,es La Liga,25,1993,8.7,53.8,0.34,5.17,24.6,27.5,1.95,51.4,2.18,3.45,63.3,2.30,0.23,42.8,209.0,106.4,6.78,1.49,0.69,1.15,2.30,52.8,43.8,83.0,5.29,Matches
2428,Suso\Suso,es ESP,FWMF,Milan,it Serie A,25,1993,15.1,59.5,0.26,4.24,24.1,35.5,2.52,55.4,2.19,3.44,63.5,2.19,0.13,49.4,259.1,148.6,9.40,2.19,1.06,0.86,1.92,56.4,47.2,83.7,6.62,Matches
2429,Bosko Sutalo\Bosko-Sutalo,hr CRO,DF,Atalanta,it Serie A,19,2000,3.1,66.1,4.19,22.3,35.5,14.5,0.97,63.9,0.97,1.29,75.0,0.97,0.00,46.5,248.1,127.1,7.10,1.61,0.00,0.65,2.26,45.2,43.5,96.4,0.97,Matches
2430,Markus Suttner\Markus-Suttner,at AUT,DFMF,Düsseldorf,de Bundesliga,32,1987,14.9,66.9,3.56,19.7,31.7,19.1,0.74,57.7,0.34,0.54,62.5,0.34,0.00,38.1,178.8,97.9,4.63,1.48,0.13,0.67,0.47,40.7,37.4,91.9,2.01,Matches
2431,Mattias Svanberg\Mattias-Svanberg,se SWE,MF,Bologna,it Serie A,20,1999,11.7,49.7,1.97,10.1,25.6,17.3,2.56,47.5,1.11,1.62,68.4,1.11,0.00,32.6,163.8,93.5,5.04,1.45,0.77,1.79,1.37,39.6,34.4,86.8,5.47,Matches
2432,Issiaga Sylla\Issiaga-Sylla,gn GUI,DF,Toulouse,fr Ligue 1,25,1994,28.0,67.0,4.79,22.4,32.5,16.4,1.68,57.2,0.96,1.71,56.3,1.04,0.00,34.9,201.3,125.8,5.11,1.86,0.18,1.32,1.07,37.5,33.4,89.0,1.82,Matches
2433,Moussa Sylla\Moussa-Sylla,fr FRA,FW,Monaco,fr Ligue 1,19,1999,0.1,40.0,0.00,0.00,10.0,30.0,20.0,30.0,0.00,0.00,,0.00,0.00,20.0,100.0,0.00,0.00,0.00,0.00,10.0,0.00,40.0,20.0,50.0,10.0,Matches
2434,Eddy Sylvestre\Eddy-Sylvestre,fr FRA,MF,Nice,fr Ligue 1,19,1999,0.4,57.5,0.00,2.50,30.0,25.0,5.00,57.5,5.00,5.00,100.0,5.00,0.00,45.0,167.5,60.0,7.50,0.00,0.00,5.00,2.50,60.0,47.5,79.2,22.5,Matches
2435,Ádám Szalai\Adam-Szalai,hu HUN,FW,Mainz 05,de Bundesliga,31,1987,12.7,38.0,1.18,3.23,17.4,18.6,6.54,36.5,1.10,1.81,60.9,1.10,0.08,22.4,57.4,25.0,1.57,0.39,0.31,3.54,2.13,49.7,28.6,57.5,11.1,Matches
2436,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,29,1990,28.8,28.8,25.6,28.6,0.28,0.00,0.00,20.5,0.00,0.00,,0.00,0.00,11.8,53.9,24.1,0.00,0.00,0.00,0.00,0.00,11.2,11.1,98.8,0.00,Matches
2437,Andrea Tabanelli\Andrea-Tabanelli,it ITA,MF,Lecce,it Serie A,29,1990,10.7,46.7,2.52,12.9,23.6,14.3,3.55,45.9,1.21,2.15,56.5,1.40,0.19,33.5,196.3,106.8,4.39,1.68,0.47,1.87,1.87,39.0,32.1,82.5,6.26,Matches
2438,Tachi\Tachi,es ESP,DF,Alavés,es La Liga,21,1997,2.6,35.8,8.08,24.6,10.8,1.15,0.00,30.8,0.00,0.00,,0.00,0.00,11.5,40.8,20.8,0.00,0.00,0.00,0.38,0.38,15.4,13.8,90.0,0.38,Matches
2439,Panagiotis Tachtsidis\Panagiotis-Tachtsidis,gr GRE,MF,Lecce,it Serie A,28,1991,22.3,64.8,3.45,20.9,37.7,10.6,0.49,62.1,1.08,1.43,75.0,1.12,0.00,41.7,229.5,130.0,4.62,0.99,0.04,0.67,0.85,43.6,41.6,95.5,1.52,Matches
2440,Jonathan Tah\Jonathan-Tah,de GER,DF,Leverkusen,de Bundesliga,23,1996,23.2,99.1,9.35,52.4,51.7,2.84,0.43,97.1,0.56,0.69,81.3,0.60,0.00,71.0,389.6,196.1,3.84,0.39,0.00,0.04,0.30,73.4,72.2,98.4,0.47,Matches
2441,Flavien Tait\Flavien-Tait,fr FRA,MFFW,Rennes,fr Ligue 1,26,1993,9.8,55.2,0.51,8.16,29.7,23.1,2.35,53.7,1.94,3.88,50.0,2.04,0.10,41.6,246.2,157.6,9.69,2.65,0.61,2.04,2.14,50.6,40.9,80.8,6.73,Matches
2442,Mahdi Talal\Mahdi-Talal,fr FRA,FW,Amiens,fr Ligue 1,21,1997,0.2,55.0,5.00,20.0,10.0,25.0,0.00,55.0,0.00,0.00,,0.00,0.00,35.0,135.0,100.0,0.00,0.00,0.00,0.00,15.0,60.0,35.0,58.3,5.00,Matches
2443,Adrien Tameze\Adrien-Tameze,cm CMR,MF,Nice,fr Ligue 1,25,1994,5.8,51.7,2.59,10.3,30.2,14.0,1.55,50.9,0.86,2.24,38.5,1.21,0.17,35.9,161.9,80.0,4.14,1.03,0.34,1.21,1.21,46.4,39.3,84.8,3.62,Matches
2444,Adrien Tameze\Adrien-Tameze,cm CMR,MF,Atalanta,it Serie A,25,1994,2.3,94.3,4.78,21.3,60.0,20.4,1.74,93.5,2.17,3.04,71.4,2.17,0.00,77.8,347.0,180.9,9.57,2.61,0.43,0.00,0.87,77.0,76.5,99.4,2.17,Matches
2445,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,eng Premier League,20,1999,5.8,55.2,5.52,23.6,27.9,6.55,0.34,49.3,1.21,1.72,70.0,1.21,0.00,28.6,132.1,70.9,2.59,0.34,0.00,0.86,1.38,29.5,26.9,91.2,0.69,Matches
2446,Adil Taoui\Adil-Taoui,fr FRA,MF,Toulouse,fr Ligue 1,17,2001,0.3,13.3,0.00,0.00,3.33,10.0,6.67,13.3,0.00,0.00,,0.00,0.00,10.0,23.3,0.00,0.00,0.00,0.00,3.33,3.33,13.3,13.3,100.0,13.3,Matches
2447,Edmond Tapsoba\Edmond-Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,20,1999,11.8,103.4,9.58,58.7,52.0,1.61,0.34,101.3,0.42,0.68,62.5,0.42,0.00,76.9,407.6,218.1,2.46,0.25,0.00,0.42,0.17,78.4,77.6,99.0,0.17,Matches
2448,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,eng Premier League,23,1995,25.5,58.9,4.86,20.1,25.4,16.4,1.29,49.6,0.39,0.90,43.5,0.55,0.04,29.7,119.8,67.3,2.86,1.02,0.16,0.24,0.78,32.7,30.2,92.6,2.04,Matches
2449,Rodrigo Tarín\Rodrigo-Tarin,es ESP,DF,Leganés,es La Liga,23,1996,10.6,33.3,6.13,21.0,12.5,1.13,0.47,32.2,0.00,0.00,,0.00,0.00,13.4,76.1,38.6,0.66,0.09,0.00,0.00,0.00,15.3,14.7,96.3,0.57,Matches
2450,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,eng Premier League,26,1992,38.0,47.7,8.24,25.2,21.0,2.92,1.89,47.0,0.39,0.42,93.8,0.42,0.00,19.2,88.2,36.7,0.92,0.05,0.00,0.37,0.13,21.9,20.8,95.2,1.79,Matches
2451,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Lyon,fr Ligue 1,33,1986,2.0,31.5,26.0,31.5,0.00,0.00,0.00,28.0,0.00,0.00,,0.00,0.00,17.0,53.0,35.5,0.00,0.00,0.00,0.00,0.00,13.5,13.5,100.0,0.00,Matches
2452,Júlio Tavares\Julio-Tavares,cv CPV,FW,Dijon,fr Ligue 1,30,1988,22.2,36.3,1.31,2.97,18.0,16.6,4.91,34.5,0.41,1.13,36.0,0.45,0.05,17.4,68.9,25.5,1.53,0.50,0.14,1.98,1.98,48.9,27.5,56.3,9.91,Matches
2453,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,eng Premier League,25,1993,21.6,61.2,5.09,20.2,27.5,17.4,0.46,48.5,0.88,1.81,48.7,1.02,0.14,28.4,199.6,90.4,3.52,0.97,0.19,0.56,0.79,30.4,28.4,93.5,0.88,Matches
2454,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,eng Premier League,30,1989,12.1,52.1,5.12,19.2,24.6,9.92,0.41,44.0,0.17,0.25,66.7,0.17,0.00,25.0,90.7,46.0,1.90,0.66,0.00,0.33,0.17,30.0,26.6,88.7,0.41,Matches
2455,Aurélien Tchouaméni\Aurelien-Tchouameni,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,12.3,65.6,2.20,16.9,45.9,7.07,0.89,64.6,1.06,1.38,76.5,1.14,0.00,49.3,229.8,111.8,4.39,0.98,0.08,0.41,1.54,49.5,46.4,93.8,1.46,Matches
2456,Aurélien Tchouaméni\Aurelien-Tchouameni,fr FRA,MF,Monaco,fr Ligue 1,19,2000,0.7,47.1,4.29,12.9,24.3,12.9,2.86,42.9,1.43,4.29,33.3,1.43,0.00,27.1,81.4,34.3,1.43,1.43,0.00,0.00,0.00,28.6,24.3,85.0,1.43,Matches
2457,Georg Teigl\Georg-Teigl,at AUT,DFMF,Augsburg,de Bundesliga,28,1991,1.2,34.2,6.67,15.0,19.2,3.33,0.83,29.2,0.83,0.83,100.0,0.83,0.00,18.3,98.3,50.8,1.67,0.83,0.00,1.67,0.83,20.0,19.2,95.8,0.83,Matches
2458,Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,es La Liga,23,1996,16.1,58.4,2.92,15.3,30.5,15.5,0.50,46.6,0.31,0.56,55.6,0.31,0.06,28.9,145.1,69.7,3.29,1.43,0.12,0.62,0.31,30.5,27.0,88.4,0.81,Matches
2459,Bernard Tekpetey\Bernard-Tekpetey,gh GHA,FWMF,Düsseldorf,de Bundesliga,21,1997,5.0,38.8,0.00,3.80,17.2,22.6,2.60,37.6,2.00,3.60,55.6,2.00,0.00,32.4,187.0,130.0,6.80,2.20,1.00,5.00,3.80,42.8,25.8,60.3,7.00,Matches
2460,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,eng Premier League,20,1999,0.0,3,0,0,1,2,1,3,0,0,,0,0,2,6,4,1,0,1,0,0,3,2,66.7,1,Matches
2461,Cristian Tello\Cristian-Tello,es ESP,MFFW,Betis,es La Liga,27,1991,8.7,52.1,0.80,6.90,19.7,29.0,3.56,48.3,1.38,2.18,63.2,1.38,0.11,39.0,216.0,132.3,6.44,1.26,1.26,1.61,1.15,44.4,38.0,85.8,5.52,Matches
2462,Lino Tempelmann\Lino-Tempelmann,de GER,MF,Freiburg,de Bundesliga,20,1999,0.4,35.0,5.00,12.5,17.5,7.50,0.00,35.0,2.50,2.50,100.0,2.50,0.00,25.0,217.5,120.0,5.00,2.50,0.00,0.00,0.00,22.5,22.5,100.0,0.00,Matches
2463,Łukasz Teodorczyk\Lukasz-Teodorczyk,pl POL,FW,Udinese,it Serie A,28,1991,2.5,43.6,0.40,6.00,25.2,17.2,4.00,42.0,1.60,2.80,57.1,1.60,0.00,27.2,156.0,91.6,4.00,2.40,0.80,1.20,4.00,45.6,29.6,64.9,9.60,Matches
2464,Hidde ter Avest\Hidde-ter-Avest,nl NED,DF,Udinese,it Serie A,22,1997,7.6,58.4,5.26,20.8,26.1,14.7,0.92,50.8,0.39,0.66,60.0,0.39,0.00,30.3,130.0,65.0,3.82,1.58,0.00,0.66,0.53,38.6,33.9,88.1,2.24,Matches
2465,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,27,1992,36.0,41.5,35.0,41.3,0.28,0.00,0.00,34.4,0.00,0.00,,0.00,0.00,25.8,114.0,70.8,0.00,0.00,0.00,0.00,0.00,25.3,25.2,99.7,0.00,Matches
2466,Simon Terodde\Simon-Terodde,de GER,FWMF,Köln,de Bundesliga,31,1988,9.0,31.9,2.11,4.44,13.0,15.3,7.33,29.7,0.22,0.56,40.0,0.33,0.00,12.2,47.2,21.0,1.33,0.44,0.22,1.89,1.11,43.4,18.8,43.2,8.78,Matches
2467,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,29,1990,6.9,33.6,31.3,33.6,0.00,0.00,0.00,21.6,0.00,0.00,,0.00,0.00,12.9,77.0,38.6,0.00,0.00,0.00,0.00,0.00,10.3,10.3,100.0,0.00,Matches
2468,Martin Terrier\Martin-Terrier,fr FRA,FWMF,Lyon,fr Ligue 1,22,1997,13.3,43.8,0.90,6.47,22.0,19.5,3.83,41.9,1.35,2.26,60.0,1.50,0.08,28.2,158.9,93.0,5.41,2.48,0.75,1.80,1.28,39.5,30.1,76.0,5.79,Matches
2469,Aleksa Terzić\Aleksa-Terzic,rs SRB,DF,Fiorentina,it Serie A,19,1999,0.1,60.0,0.00,10.0,50.0,0.00,0.00,60.0,0.00,0.00,,0.00,0.00,50.0,110.0,80.0,10.0,0.00,0.00,0.00,0.00,60.0,50.0,83.3,0.00,Matches
2470,Kenny Tete\Kenny-Tete,nl NED,DF,Lyon,fr Ligue 1,23,1995,11.9,83.6,3.19,22.0,42.7,24.6,2.10,72.3,0.92,1.68,55.0,1.01,0.08,53.1,273.4,142.2,6.05,2.27,0.34,1.09,0.67,57.1,52.3,91.6,4.12,Matches
2471,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,eng Premier League,33,1986,26.0,57.5,4.96,21.7,32.2,6.81,0.46,57.0,0.62,0.92,66.7,0.73,0.00,36.6,182.4,82.2,2.54,1.00,0.00,0.85,0.46,37.8,36.5,96.4,0.46,Matches
2472,Florian Thauvin\Florian-Thauvin,fr FRA,FW,Marseille,fr Ligue 1,26,1993,0.2,110.0,0.00,20.0,50.0,40.0,25.0,110.0,10.0,15.0,66.7,10.0,0.00,100.0,430.0,150.0,5.00,0.00,5.00,5.00,0.00,115.0,90.0,78.3,20.0,Matches
2473,Demba Thiam\Demba-Thiam,sn SEN,GK,SPAL,it Serie A,21,1998,2.0,38.5,36.0,38.5,0.00,0.00,0.00,21.5,0.00,0.00,,0.00,0.00,10.5,53.5,31.5,0.00,0.00,0.00,0.00,0.00,7.50,7.50,100.0,0.00,Matches
2474,Malick Thiaw\Malick-Thiaw,de GER,DF,Schalke 04,de Bundesliga,17,2001,0.8,61.3,12.5,28.8,35.0,5.00,0.00,61.3,0.00,0.00,,0.00,0.00,38.8,288.8,160.0,6.25,3.75,0.00,0.00,0.00,40.0,38.8,96.9,0.00,Matches
2475,Niclas Thiede\Niclas-Thiede,de GER,GK,Freiburg,de Bundesliga,20,1999,0.8,53.8,45.0,52.5,1.25,0.00,0.00,42.5,0.00,0.00,,0.00,0.00,33.8,190.0,96.3,0.00,0.00,0.00,0.00,0.00,25.0,25.0,100.0,0.00,Matches
2476,Jan Thielmann\Jan-Thielmann,de GER,FWMF,Köln,de Bundesliga,17,2002,6.2,40.2,0.81,7.90,16.1,18.9,0.97,38.9,0.32,0.97,33.3,0.32,0.00,25.3,112.6,58.5,3.23,1.29,0.00,2.42,2.26,35.6,23.9,67.0,6.77,Matches
2477,Sada Thioub\Sada-Thioub,sn SEN,MFFW,Angers,fr Ligue 1,24,1995,16.8,54.9,0.77,7.56,26.9,26.0,3.81,53.2,3.63,6.01,60.4,3.69,0.12,46.1,248.0,148.9,7.98,1.96,1.07,2.56,2.50,54.7,41.8,76.4,8.57,Matches
2478,Jordan Thomas\Jordan-Thomas,eng ENG,FW,Norwich City,eng Premier League,18,2001,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,Matches
2479,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,eng Premier League,18,2001,3.0,73.3,1.67,14.0,32.7,30.7,1.67,65.0,0.67,1.00,66.7,0.67,0.00,47.3,194.7,105.0,4.67,0.67,0.67,1.33,0.67,51.0,48.0,94.1,4.00,Matches
2480,Romain Thomas\Romain-Thomas,fr FRA,DF,Angers,fr Ligue 1,31,1988,26.0,54.8,8.42,33.4,23.4,1.00,0.69,52.9,0.12,0.12,100.0,0.12,0.00,31.2,137.6,65.1,0.73,0.00,0.00,0.23,0.04,34.2,32.8,96.1,0.54,Matches
2481,Adrien Thomasson\Adrien-Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,25,1993,23.0,53.7,0.35,5.35,26.3,25.6,4.48,51.6,1.22,2.17,56.0,1.35,0.13,36.7,173.6,84.9,5.00,1.87,0.52,2.48,1.74,52.0,39.1,75.3,10.3,Matches
2482,Erik Thommy\Erik-Thommy,de GER,DFFW,Düsseldorf,de Bundesliga,24,1994,25.1,49.2,0.84,8.13,21.0,24.4,2.87,44.7,1.87,2.75,68.1,1.95,0.00,35.3,229.3,143.9,7.01,2.47,1.04,1.67,2.11,42.3,32.5,76.9,6.25,Matches
2483,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,eng Premier League,17,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,Matches
2484,Morten Thorsby\Morten-Thorsby,no NOR,MFDF,Sampdoria,it Serie A,23,1996,20.7,48.4,2.75,11.6,25.5,13.5,2.13,46.5,0.39,0.58,66.7,0.39,0.00,27.2,115.4,59.6,2.56,0.82,0.39,0.87,0.63,35.3,29.0,82.2,3.67,Matches
2485,Marcus Thuram\Marcus-Thuram,fr FRA,FW,M'Gladbach,de Bundesliga,21,1997,24.5,43.9,1.06,5.14,21.2,21.9,6.41,43.4,2.82,4.65,60.5,2.98,0.12,32.5,179.8,112.0,5.55,1.92,1.67,2.94,2.16,53.5,33.3,62.2,9.80,Matches
2486,Khéphren Thuram-Ulie\Khephren-Thuram-Ulie,fr FRA,MF,Nice,fr Ligue 1,18,2001,6.6,67.6,3.94,24.7,38.8,8.79,0.30,66.5,0.61,0.91,66.7,0.76,0.00,49.7,246.2,110.3,2.88,1.06,0.15,0.76,1.36,50.0,48.0,96.1,1.36,Matches
2487,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,eng Premier League,22,1997,31.4,68.2,0.99,10.4,37.2,24.2,1.88,65.3,0.96,1.46,65.2,0.99,0.06,46.5,181.0,98.5,4.78,1.82,0.32,1.02,1.62,56.5,50.5,89.5,4.65,Matches
2488,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,eng Premier League,22,1997,11.0,60.4,3.73,19.8,25.5,17.9,1.55,52.6,1.09,1.45,75.0,1.09,0.09,34.6,167.1,82.6,3.45,0.73,0.45,1.09,0.55,38.4,35.0,91.2,1.91,Matches
2489,Cheick Timite\Cheick-Timite,ci CIV,MFFW,Amiens,fr Ligue 1,21,1997,1.3,40.8,0.77,6.15,23.1,16.9,3.85,40.0,0.00,0.77,0.0,0.00,0.00,31.5,215.4,103.8,3.85,1.54,0.00,1.54,1.54,42.3,33.1,78.2,6.15,Matches
2490,David Timor\David-Timor,es ESP,MFDF,Getafe,es La Liga,29,1989,10.5,48.4,2.38,10.2,28.8,11.4,0.67,42.6,0.19,0.19,100.0,0.19,0.00,15.8,71.2,32.0,1.62,0.57,0.10,0.57,0.38,21.0,18.9,90.0,0.95,Matches
2491,Marcel Tisserand\Marcel-Tisserand,cd COD,DF,Wolfsburg,de Bundesliga,26,1993,13.4,66.9,6.87,31.9,34.6,4.33,1.19,64.9,0.67,0.82,81.8,0.67,0.07,42.2,264.2,136.4,4.03,0.75,0.22,0.52,0.37,39.9,38.4,96.1,0.67,Matches
2492,Jean-Clair Todibo\Jean-Clair-Todibo,fr FRA,DF,Barcelona,es La Liga,19,1999,0.9,70.0,14.4,42.2,28.9,0.00,0.00,68.9,0.00,1.11,0.0,0.00,0.00,47.8,323.3,148.9,5.56,0.00,0.00,0.00,0.00,50.0,48.9,97.8,0.00,Matches
2493,Jean-Clair Todibo\Jean-Clair-Todibo,fr FRA,DF,Schalke 04,de Bundesliga,19,1999,4.1,80.7,12.0,47.1,36.6,2.93,1.22,79.8,2.20,2.44,90.0,2.20,0.24,57.6,383.7,213.7,3.66,0.24,0.00,1.22,0.73,52.0,51.2,98.6,1.22,Matches
2494,Karl Toko Ekambi\Karl-Toko-Ekambi,cm CMR,FW,Villarreal,es La Liga,26,1992,11.0,31.5,0.18,2.09,15.2,17.1,6.55,30.2,1.45,2.45,59.3,1.73,0.09,22.9,128.1,68.4,3.55,1.09,1.27,1.82,1.55,47.7,25.1,52.6,9.64,Matches
2495,Karl Toko Ekambi\Karl-Toko-Ekambi,cm CMR,FW,Lyon,fr Ligue 1,26,1992,6.0,42.3,0.17,4.00,18.2,23.0,4.00,41.3,1.33,2.17,61.5,1.50,0.00,34.0,176.3,92.0,7.33,1.50,1.50,2.33,2.50,45.5,34.7,76.2,10.5,Matches
2496,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,Bayern Munich,de Bundesliga,24,1994,7.1,90.8,1.55,11.7,61.3,24.1,3.80,89.7,0.99,1.55,63.6,1.13,0.00,69.2,311.0,122.8,6.20,1.97,0.14,0.85,1.83,80.3,73.2,91.2,7.61,Matches
2497,Jeremy Toljan\Jeremy-Toljan,de GER,DF,Sassuolo,it Serie A,24,1994,24.3,70.9,3.50,21.3,35.7,19.1,2.35,60.6,0.82,1.15,71.4,0.82,0.04,46.2,246.1,137.1,5.88,2.51,0.70,0.99,1.28,49.5,46.1,93.0,2.84,Matches
2498,Rafael Tolói\Rafael-Toloi,it ITA,DF,Atalanta,it Serie A,28,1990,29.0,68.3,6.03,26.4,37.5,8.34,1.31,65.8,0.55,0.72,76.2,0.55,0.07,45.1,258.1,147.6,5.52,1.21,0.10,0.17,0.62,46.0,44.6,97.0,1.14,Matches
2499,Raúl de Tomás\Raul-de-Tomas,es ESP,FW,Espanyol,es La Liga,24,1994,11.9,36.5,0.25,3.11,22.5,13.7,4.03,34.4,2.61,4.03,64.6,2.77,0.25,26.6,116.2,46.1,3.28,0.76,0.25,2.94,2.52,50.6,27.6,54.7,8.49,Matches
2500,Takehiro Tomiyasu\Takehiro-Tomiyasu,jp JPN,DF,Bologna,it Serie A,20,1998,28.1,70.6,5.02,24.1,35.6,15.9,1.03,61.0,1.07,1.67,63.8,1.07,0.07,41.9,262.6,157.3,5.48,1.60,0.14,0.82,0.64,43.8,41.5,94.6,1.64,Matches
2501,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,30,1989,17.6,48.7,8.86,32.0,16.7,1.93,1.19,47.1,0.06,0.06,100.0,0.06,0.00,22.7,100.5,49.9,0.85,0.17,0.00,0.06,0.17,25.9,25.1,96.9,1.02,Matches
2502,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,eng Premier League,21,1997,14.3,89.3,10.3,49.4,42.2,3.50,0.56,88.2,0.49,0.77,63.6,0.63,0.00,65.5,302.4,145.2,3.64,0.70,0.00,0.28,0.35,67.1,66.0,98.4,0.42,Matches
2503,Nenad Tomović\Nenad-Tomovic,rs SRB,DF,SPAL,it Serie A,31,1987,19.5,58.1,8.10,29.5,25.7,7.44,0.82,53.5,0.21,0.36,57.1,0.26,0.00,35.2,236.1,127.7,4.26,1.18,0.05,0.15,0.26,37.1,36.1,97.4,0.62,Matches
2504,Sandro Tonali\Sandro-Tonali,it ITA,MF,Brescia,it Serie A,19,2000,33.5,56.8,2.99,14.7,31.5,14.5,0.60,46.8,1.16,1.46,79.6,1.25,0.06,32.5,178.2,102.9,3.55,1.28,0.09,1.01,1.13,33.2,30.9,93.2,1.34,Matches
2505,Lorenzo Tonelli\Lorenzo-Tonelli,it ITA,DF,Sampdoria,it Serie A,29,1990,7.8,56.0,9.10,28.6,29.4,2.82,0.51,54.2,0.77,0.77,100.0,0.77,0.00,35.6,192.6,134.7,2.69,0.90,0.00,0.51,0.26,36.7,36.4,99.3,0.38,Matches
2506,Toño\Tono,es ESP,DF,Levante,es La Liga,29,1989,17.7,62.4,3.84,24.3,28.1,15.3,1.13,52.8,1.53,2.26,67.5,1.58,0.17,39.4,216.8,144.2,5.42,1.86,0.28,0.85,0.90,41.6,36.8,88.5,2.43,Matches
2507,Ömer Toprak\Omer-Toprak,tr TUR,DF,Werder Bremen,de Bundesliga,30,1989,7.9,71.8,9.49,32.8,39.0,4.30,0.63,69.1,0.63,0.63,100.0,0.63,0.00,49.9,277.3,122.2,3.54,0.38,0.00,0.51,0.89,48.9,47.2,96.6,0.38,Matches
2508,Ernesto Torregrossa\Ernesto-Torregrossa,it ITA,FW,Brescia,it Serie A,27,1992,20.5,41.7,1.32,3.41,19.2,22.0,5.12,40.9,1.71,3.22,53.0,2.00,0.20,30.6,143.1,74.9,3.90,1.17,0.93,3.56,2.68,53.3,33.7,63.1,10.9,Matches
